card_id	filename	entity_type	wiki_page	file_title	source_url	source_revision	sha256	match_method	pixel_art	source_sha256	bundled_fallback
item.10th_squad_sigil.4035	assets/73dc2c07496205b4dce0301959a039a4b5dd209160a31e81380b79c3223822e1.png	ITEM	10th squad sigil	10th squad sigil detail.png	https://oldschool.runescape.wiki/images/10th_squad_sigil_detail.png?cdaf3	page:;file:2021-08-21T18:30:02Z	73dc2c07496205b4dce0301959a039a4b5dd209160a31e81380b79c3223822e1	category-index	false	55ab312b495fa6e90c64cf1715f2bef375e51e95eebc0dd22d904fadf156e446	true
item.3rd_age_amulet.10344	assets/94f4476677ebf49d23a90cc4a367fe6ff20d67c454187d5b81c3a40c71a6857c.png	ITEM	3rd age amulet	3rd age amulet detail.png	https://oldschool.runescape.wiki/images/3rd_age_amulet_detail.png?9e894	page:;file:2021-03-23T15:04:58Z	94f4476677ebf49d23a90cc4a367fe6ff20d67c454187d5b81c3a40c71a6857c	category-index	false	ea902ef2278b6edcae3dcd3ef494f0eabe22eba74496687082b59eaf83d72865	true
item.3rd_age_axe.20011	assets/1c31c0221cbab1f87cf913834f535199b9cd714674d7d4a9aefbf4f322618f84.png	ITEM	3rd age axe	3rd age axe detail.png	https://oldschool.runescape.wiki/images/3rd_age_axe_detail.png?9e894	page:;file:2021-03-23T15:04:58Z	1c31c0221cbab1f87cf913834f535199b9cd714674d7d4a9aefbf4f322618f84	category-index	false	57b501a3477946f74ba4b2c9eaea91e6675a69caee6e004128c4aa31a18b6b3b	true
item.3rd_age_bow.12424	assets/d17de1152a793bf581402ed1b87d26382429d402340ae03f4c06d0a80e173b3f.png	ITEM	3rd age bow	3rd age bow detail.png	https://oldschool.runescape.wiki/images/3rd_age_bow_detail.png?7bc73	page:;file:2021-08-21T18:29:58Z	d17de1152a793bf581402ed1b87d26382429d402340ae03f4c06d0a80e173b3f	category-index	false	fe1d2a06be67203ef518ce4c6564f78be3c6000907227ac92b0a1a99d36daac5	true
item.3rd_age_cloak.12437	assets/f7c8fd15d0c6cdca2f6411b8ba7f5a41539c688d25a5c04f442eb476ced5a026.png	ITEM	3rd age cloak	3rd age cloak detail.png	https://oldschool.runescape.wiki/images/3rd_age_cloak_detail.png?9e894	page:;file:2021-03-23T15:04:58Z	f7c8fd15d0c6cdca2f6411b8ba7f5a41539c688d25a5c04f442eb476ced5a026	category-index	false	14e47dc0bb2578ae23221b828cd64da06a1d6688987aea1386e4d60d56275f4b	true
item.3rd_age_druidic_cloak.23345	assets/ce1f3f243c4a27b1fcad69c944fc083c28d26400d0eeed27099559c0022a45b3.png	ITEM	3rd age druidic cloak	3rd age druidic cloak detail.png	https://oldschool.runescape.wiki/images/3rd_age_druidic_cloak_detail.png?7bc73	page:;file:2021-08-21T18:29:58Z	ce1f3f243c4a27b1fcad69c944fc083c28d26400d0eeed27099559c0022a45b3	category-index	false	a6ef4d70f63f145c88207bb4780ed6a5cb5011615d59ebe10b8c71499f0a890f	true
item.3rd_age_druidic_robe_bottoms.23339	assets/e32e3322091df48de192814f347c89b0a9060b3a75bc05cd9daf79540399d551.png	ITEM	3rd age druidic robe bottoms	3rd age druidic robe bottoms detail.png	https://oldschool.runescape.wiki/images/3rd_age_druidic_robe_bottoms_detail.png?9d7bb	page:;file:2021-08-21T18:29:59Z	e32e3322091df48de192814f347c89b0a9060b3a75bc05cd9daf79540399d551	category-index	false	067c7b7644d1ea813b540f6daf3d7c4c75b84b17be1a1561a1cd4e723aa9beef	true
item.3rd_age_druidic_robe_top.23336	assets/6a5c7596e3495e6067c2a487920d659e4bb8c0bc11a467ef821062abb55b0431.png	ITEM	3rd age druidic robe top	3rd age druidic robe top detail.png	https://oldschool.runescape.wiki/images/3rd_age_druidic_robe_top_detail.png?9d7bb	page:;file:2021-08-21T18:29:59Z	6a5c7596e3495e6067c2a487920d659e4bb8c0bc11a467ef821062abb55b0431	category-index	false	9e67bdc9365b291d25e0d281222b8cc9bc7c8862745cfe849d2e7266e66749f9	true
item.3rd_age_druidic_staff.23342	assets/e42cf67aafdccf88a40c40e6de5b74e7b7419d6dd0772b05c6aca9afbeb33f46.png	ITEM	3rd age druidic staff	3rd age druidic staff detail.png	https://oldschool.runescape.wiki/images/3rd_age_druidic_staff_detail.png?9d7bb	page:;file:2021-08-21T18:29:59Z	e42cf67aafdccf88a40c40e6de5b74e7b7419d6dd0772b05c6aca9afbeb33f46	category-index	false	367828e20877dd34c5490fb9ce5741d4b8b85be153c66fb771261251c4f2f042	true
item.3rd_age_felling_axe.28226	assets/e05654ef4c5bc84a305ad77ff2bd622e5646feb8510593adf276b66bf99dc6b5.png	ITEM	3rd age felling axe	3rd age felling axe detail.png	https://oldschool.runescape.wiki/images/3rd_age_felling_axe_detail.png?8c08a	page:;file:2023-06-06T05:33:27Z	e05654ef4c5bc84a305ad77ff2bd622e5646feb8510593adf276b66bf99dc6b5	category-index	false	8c8fc4d2ef40f0703a7fc86106fbe44a724ceb086ede08ccc48c4ccf429f45da	true
item.3rd_age_full_helmet.10350	assets/8c101dcb7cae054d2dfc6f540ed29a9f9b5ef20b0cb4ebac6f24651e85f4ab20.png	ITEM	3rd age full helmet	3rd age full helmet detail.png	https://oldschool.runescape.wiki/images/3rd_age_full_helmet_detail.png?9c250	page:;file:2021-03-23T15:04:59Z	8c101dcb7cae054d2dfc6f540ed29a9f9b5ef20b0cb4ebac6f24651e85f4ab20	category-index	false	0767bdfab8ce1fcbb5df0be136bd9c2e421448ffc4d03298972c6929fe96ee6d	true
item.3rd_age_kiteshield.10352	assets/90451698f723371cfcffec646feaebc3f9ac51af0f13d5a465cb312be7f7ac0d.png	ITEM	3rd age kiteshield	3rd age kiteshield detail.png	https://oldschool.runescape.wiki/images/3rd_age_kiteshield_detail.png?9c250	page:;file:2021-03-23T15:04:59Z	90451698f723371cfcffec646feaebc3f9ac51af0f13d5a465cb312be7f7ac0d	category-index	false	1ed3ebd7c7474856187710212f82ccf8d3ab1a02ebcf56b752584cbb022f8a99	true
item.3rd_age_longsword.12426	assets/de6106a2970fd895c2ed59eaf1569bfb443cc69a2466c1953256292a32ff7ffd.png	ITEM	3rd age longsword	3rd age longsword detail.png	https://oldschool.runescape.wiki/images/3rd_age_longsword_detail.png?5326e	page:;file:2021-03-23T15:05:00Z	de6106a2970fd895c2ed59eaf1569bfb443cc69a2466c1953256292a32ff7ffd	category-index	false	712634d78dac1dea9435e36285c2d7993059477de9b822dec269c2ce4ecac980	true
item.3rd_age_mage_hat.10342	assets/b199e4eb8305388728ece5808f6c3c260114869a860aaa3da0129ad2458f8996.png	ITEM	3rd age mage hat	3rd age mage hat detail.png	https://oldschool.runescape.wiki/images/3rd_age_mage_hat_detail.png?5326e	page:;file:2021-03-23T15:05:00Z	b199e4eb8305388728ece5808f6c3c260114869a860aaa3da0129ad2458f8996	category-index	false	1db1b0fb1e41ecc7f1115235b6dc9a1cb3033572ba863c2c3d57c9754d679c5e	true
item.3rd_age_pickaxe.20014	assets/da9e8c89dea9dce0e2d3528f27ddd6071621beafe854740ef61dc8052874c887.png	ITEM	3rd age pickaxe	3rd age pickaxe detail.png	https://oldschool.runescape.wiki/images/3rd_age_pickaxe_detail.png?0bf61	page:;file:2021-03-23T15:05:01Z	da9e8c89dea9dce0e2d3528f27ddd6071621beafe854740ef61dc8052874c887	category-index	false	d76f8bd33220d76287c9cc02ca661a6c05c714efaacdf19852ec6b852d29b335	true
item.3rd_age_platebody.10348	assets/60b108bb52d219f702dfcde37fd4b09c7d5d6745ae8890fb18750bc6727f0789.png	ITEM	3rd age platebody	3rd age platebody detail.png	https://oldschool.runescape.wiki/images/3rd_age_platebody_detail.png?0bf61	page:;file:2021-03-23T15:05:01Z	60b108bb52d219f702dfcde37fd4b09c7d5d6745ae8890fb18750bc6727f0789	category-index	false	89eba6a970dde2877d8ba5183e49188273efe4772b12278e727fe5fe08131e28	true
item.3rd_age_platelegs.10346	assets/f6c10682f667cc2b9df1f2acf59966dcce5c7ec8ef273a479aed51048e6b69c7.png	ITEM	3rd age platelegs	3rd age platelegs detail.png	https://oldschool.runescape.wiki/images/3rd_age_platelegs_detail.png?0bf61	page:;file:2021-03-23T15:05:01Z	f6c10682f667cc2b9df1f2acf59966dcce5c7ec8ef273a479aed51048e6b69c7	category-index	false	2230c611ea5f39d832e4fb47358f189ef9cecb74d57bcdfb0f487fb2f9ca6b7a	true
item.3rd_age_plateskirt.23242	assets/2a27d6db41cf1138aabdeaabb774275c125271b38d2c7f7ae5f81b50d424ea04.png	ITEM	3rd age plateskirt	3rd age plateskirt detail.png	https://oldschool.runescape.wiki/images/3rd_age_plateskirt_detail.png?64cff	page:;file:2021-08-21T18:30:00Z	2a27d6db41cf1138aabdeaabb774275c125271b38d2c7f7ae5f81b50d424ea04	category-index	false	4e5e7e8ce1ef41da457ef58b727a15568fe714b1d30e04de23cd69a8cfa04787	true
item.3rd_age_range_coif.10334	assets/007517324147a1dc293e250528041a523ecda64504d8ba8e60ab9e59c1a233ee.png	ITEM	3rd age range coif	3rd age range coif detail.png	https://oldschool.runescape.wiki/images/3rd_age_range_coif_detail.png?0bf61	page:;file:2021-03-23T15:05:01Z	007517324147a1dc293e250528041a523ecda64504d8ba8e60ab9e59c1a233ee	category-index	false	acce5aaecac24fe1256588114224c5e4d949107dd8a7d4f05fe093f48d67de8c	true
item.3rd_age_range_legs.10332	assets/5b3bdd6930f0b2506d6a449b4eef6e4a78c1791a91152b2fd3fef6410e48385a.png	ITEM	3rd age range legs	3rd age range legs detail.png	https://oldschool.runescape.wiki/images/3rd_age_range_legs_detail.png?0bf61	page:;file:2021-03-23T15:05:01Z	5b3bdd6930f0b2506d6a449b4eef6e4a78c1791a91152b2fd3fef6410e48385a	category-index	false	5674eb0ee09391c29a460201d72a4ba2a633f1520951b6e2d990093d1d61fa26	true
item.3rd_age_range_top.10330	assets/2bec7bf399342037af8d363919daa56ed664adae22c437d8fdbaddeb50922b88.png	ITEM	3rd age range top	3rd age range top detail.png	https://oldschool.runescape.wiki/images/3rd_age_range_top_detail.png?4fb44	page:;file:2021-03-23T15:05:02Z	2bec7bf399342037af8d363919daa56ed664adae22c437d8fdbaddeb50922b88	category-index	false	0bf890e6c0bc2c10e8965340bd0fb39552c121c5b1f29075ed6e946c7e2151fb	true
item.3rd_age_robe.10340	assets/0995eff1c8c6e74fc729e896fbce19e685eab11e4806cb0c9ef25d30a70dd5ca.png	ITEM	3rd age robe	3rd age robe detail.png	https://oldschool.runescape.wiki/images/3rd_age_robe_detail.png?4fb44	page:;file:2021-03-23T15:05:02Z	0995eff1c8c6e74fc729e896fbce19e685eab11e4806cb0c9ef25d30a70dd5ca	category-index	false	011d0f5cc2286cfd163bcef64bab73210661fe7c6f6481e7de8a8ba8c9ff1b4b	true
item.3rd_age_robe_top.10338	assets/d432cd022cef47a2dda2626b94084a71202f7024835f8f82b47c72ca668d8960.png	ITEM	3rd age robe top	3rd age robe top detail.png	https://oldschool.runescape.wiki/images/3rd_age_robe_top_detail.png?4fb44	page:;file:2021-03-23T15:05:02Z	d432cd022cef47a2dda2626b94084a71202f7024835f8f82b47c72ca668d8960	category-index	false	3b86ec2f3147e1db017fdb5100a85f24f6ea9cc743a7fe4f9a0a663110e09216	true
item.3rd_age_vambraces.10336	assets/afd03a5ed1358b7ba44521eda31611606f6defcba816dc02ea1d358b3a807e67.png	ITEM	3rd age vambraces	3rd age vambraces detail.png	https://oldschool.runescape.wiki/images/3rd_age_vambraces_detail.png?d88ea	page:;file:2021-03-23T15:05:03Z	afd03a5ed1358b7ba44521eda31611606f6defcba816dc02ea1d358b3a807e67	category-index	false	e03651b5e05236cb97952d04c4d847903ad127a41b0a4bfbc8802c976069cdef	true
item.3rd_age_wand.12422	assets/53e3e4724b550f547cebb5724c01b95f2b1d1dbbe0d3c3918e08e0b554fddec5.png	ITEM	3rd age wand	3rd age wand detail.png	https://oldschool.runescape.wiki/images/3rd_age_wand_detail.png?06151	page:;file:2021-08-21T18:30:01Z	53e3e4724b550f547cebb5724c01b95f2b1d1dbbe0d3c3918e08e0b554fddec5	category-index	false	5197ca01b4b4800b80edbd2d6c3fe9032f4e17d61b82e97adef2bb3728f5ea8d	true
item.a_jester_stick.10840	assets/203e415f9f48c389195ff11c70d05d7ec98a3985913edf5d64f1e2c703f04e14.png	ITEM	A jester stick	A jester stick detail.png	https://oldschool.runescape.wiki/images/A_jester_stick_detail.png?d5f51	page:;file:2021-08-21T18:30:05Z	203e415f9f48c389195ff11c70d05d7ec98a3985913edf5d64f1e2c703f04e14	category-index	false	e927f3cdff5ee5eaf6ce27cd893f15294d5f18a8dd1536aa03990b24890d4023	true
item.a_powdered_wig.10392	assets/a4681ae0373e07c198576c79f54cebfa1961999468e7adf0b29820784dd092a4.png	ITEM	A powdered wig	A powdered wig detail.png	https://oldschool.runescape.wiki/images/A_powdered_wig_detail.png?d7fb2	page:;file:2021-04-08T01:51:28Z	a4681ae0373e07c198576c79f54cebfa1961999468e7adf0b29820784dd092a4	category-index	false	32b91fe54a663e555b8793ccd8774574001cd63f078dc777dec114bfede231df	true
