card_id	level_requirements	quest	hitpoints	unique_drops	notes	slayer_requirement	attack_styles	equipment_slot	weapon_type	attack_speed	max_hit	aggression	hazards
item.10th_squad_sigil.4035								Neck					
item.3rd_age_amulet.10344	30 Defence, 65 Magic							Neck					
item.3rd_age_axe.20011	65 Attack							Weapon	Axe	5			
item.3rd_age_bow.12424	65 Ranged							2H	Bow	4			
item.3rd_age_cloak.12437	65 Prayer							Cape					
item.3rd_age_druidic_cloak.23345	65 Defence, 65 Prayer							Cape					
item.3rd_age_druidic_robe_bottoms.23339	65 Defence, 65 Prayer							Legs					
item.3rd_age_druidic_robe_top.23336	65 Defence, 65 Prayer							Body					
item.3rd_age_druidic_staff.23342	65 Attack, 65 Prayer							Weapon	Staff	5			
item.3rd_age_felling_axe.28226								2H	Axe	7			
item.3rd_age_full_helmet.10350	65 Defence							Head					
item.3rd_age_kiteshield.10352	65 Defence							Shield					
item.3rd_age_longsword.12426	65 Attack							Weapon	2H Sword	5			
item.3rd_age_mage_hat.10342	30 Defence, 65 Magic							Head					
item.3rd_age_pickaxe.20014	65 Attack							Weapon	Pickaxe	5			
item.3rd_age_platebody.10348	65 Defence							Body					
item.3rd_age_platelegs.10346	65 Defence							Legs					
item.3rd_age_plateskirt.23242	65 Defence							Legs					
item.3rd_age_range_coif.10334	45 Defence, 65 Ranged							Head					
item.3rd_age_range_legs.10332	45 Defence, 65 Ranged							Legs					
item.3rd_age_range_top.10330	45 Defence, 65 Ranged							Body					
item.3rd_age_robe.10340	30 Defence, 65 Magic							Legs					
item.3rd_age_robe_top.10338	30 Defence, 65 Magic							Body					
item.3rd_age_vambraces.10336	45 Defence, 65 Ranged							Hands					
item.3rd_age_wand.12422	65 Magic							Weapon	Staff	4			
item.a_jester_stick.10840													
item.a_powdered_wig.10392								Head					
item.abyssal_ashes.25775													
item.abyssal_bludgeon.13263	70 Attack, 70 Strength							2H	Bludgeon	4			
item.abyssal_bracelet_5.11095								Hands					
item.abyssal_dagger.13265	70 Attack							Weapon	Stab Sword	4			
item.abyssal_dagger_bh.27861								Weapon	Stab Sword	4			
item.abyssal_lantern.26822								Shield					
item.abyssal_needle.26813													
item.abyssal_tentacle.12006	75 Attack							Weapon	Whip	4			
item.abyssal_whip.4151	70 Attack							Weapon	Whip	4			
item.accumulator_max_cape.13337	99 Attack, 99 Strength, 99 Defence, 99 Ranged, 99 Magic, 99 Prayer, 99 Hitpoints, 99 Runecraft, 99 Construction, 99 Agility, 99 Herblore, 99 Thieving, 99 Crafting, 99 Fletching, 99 Slayer, 99 Hunter, 99 Mining, 99 Smithing, 99 Fishing, 99 Cooking, 99 Firemaking, 99 Woodcutting, 99 Farming							Cape					
item.accumulator_max_hood.13338	99 Attack, 99 Strength, 99 Defence, 99 Ranged, 99 Magic, 99 Prayer, 99 Hitpoints, 99 Runecraft, 99 Construction, 99 Agility, 99 Herblore, 99 Thieving, 99 Crafting, 99 Fletching, 99 Slayer, 99 Hunter, 99 Mining, 99 Smithing, 99 Fishing, 99 Cooking, 99 Firemaking, 99 Woodcutting, 99 Farming							Head					
item.accursed_sceptre.27665								Weapon	Powered Staff	4			
item.accursed_sceptre_a.27679								Weapon	Staff	5			
item.accursed_sceptre_au.27676								Weapon	Staff	5			
item.accursed_sceptre_u.27662								Weapon	Powered Staff	4			
item.achey_tree_logs.2862													
item.achievement_diary_cape.19476								Cape					
item.achievement_diary_hood.13070								Head					
item.acorn.5312													
item.adamant-full-helm	30 Defence							Head					
item.adamant-kiteshield	30 Defence							Shield					
item.adamant-platebody	30 Defence							Body					
item.adamant_arrowtips.43													
item.adamant_axe.1357	30 Attack							Weapon	Axe	5			
item.adamant_battleaxe.1371	30 Attack							Weapon	Axe	6			
