card_id	display_name	examine_text	card_type	rarity	categories	entity_family_id	permissions	free_to_play	introduced_version
item.adamant-2h-sword	Adamant 2h sword	A useful piece of combat equipment.	ITEM	UNCOMMON	COMBAT_METHOD	item-family.adamant-2h-sword	ITEM_EQUIP	true	8
item.adamant-arrow	Adamant arrow	A useful piece of combat equipment.	ITEM	UNCOMMON	COMBAT_METHOD	item-family.adamant-arrow	ITEM_EQUIP	true	8
item.adamant-chainbody	Adamant chainbody	Protective or decorative equipment.	ITEM	UNCOMMON	SUPPORT	item-family.adamant-chainbody	ITEM_EQUIP	true	8
item.adamant-dagger	Adamant dagger	A useful piece of combat equipment.	ITEM	UNCOMMON	COMBAT_METHOD	item-family.adamant-dagger	ITEM_EQUIP	true	8
item.adamant-full-helm	Adamant full helm	Protective or decorative equipment.	ITEM	UNCOMMON	SUPPORT	item-family.adamant-full-helm	ITEM_EQUIP	true	8
item.adamant-kiteshield	Adamant kiteshield	Protective or decorative equipment.	ITEM	UNCOMMON	SUPPORT	item-family.adamant-kiteshield	ITEM_EQUIP	true	8
item.adamant-longsword	Adamant longsword	A useful piece of combat equipment.	ITEM	UNCOMMON	COMBAT_METHOD	item-family.adamant-longsword	ITEM_EQUIP	true	8
item.adamant-mace	Adamant mace	A useful piece of combat equipment.	ITEM	UNCOMMON	COMBAT_METHOD	item-family.adamant-mace	ITEM_EQUIP	true	8
item.adamant-platebody	Adamant platebody	Protective or decorative equipment.	ITEM	UNCOMMON	SUPPORT	item-family.adamant-platebody	ITEM_EQUIP	true	8
item.adamant-platelegs	Adamant platelegs	Protective or decorative equipment.	ITEM	UNCOMMON	SUPPORT	item-family.adamant-platelegs	ITEM_EQUIP	true	8
item.adamant-scimitar	Adamant scimitar	A useful piece of combat equipment.	ITEM	UNCOMMON	COMBAT_METHOD	item-family.adamant-scimitar	ITEM_EQUIP	true	8
item.adamant-sq-shield	Adamant sq shield	Protective or decorative equipment.	ITEM	UNCOMMON	SUPPORT	item-family.adamant-sq-shield	ITEM_EQUIP	true	8
item.adamant-sword	Adamant sword	A useful piece of combat equipment.	ITEM	UNCOMMON	COMBAT_METHOD	item-family.adamant-sword	ITEM_EQUIP	true	8
item.adamantite-bar	Adamantite bar	A valuable crafting or smithing material.	ITEM	RARE	PROCESSING_INPUT	item-family.adamantite-bar	ITEM_PROCESS	true	8
item.adamantite-ore	Adamantite ore	A valuable crafting or smithing material.	ITEM	RARE	PROCESSING_INPUT	item-family.adamantite-ore	ITEM_PROCESS	true	8
item.air-rune	Air rune	A rune carrying magical power.	ITEM	COMMON	COMBAT_METHOD	item-family.air-rune	ITEM_ACTIVATE	true	8
item.amulet-of-accuracy	Amulet of accuracy	Protective or decorative equipment.	ITEM	COMMON	SUPPORT	item-family.amulet-of-accuracy	ITEM_EQUIP	true	8
item.amulet-of-defence	Amulet of defence	Protective or decorative equipment.	ITEM	UNCOMMON	SUPPORT	item-family.amulet-of-defence	ITEM_EQUIP	true	8
item.amulet-of-magic	Amulet of magic	Protective or decorative equipment.	ITEM	UNCOMMON	SUPPORT	item-family.amulet-of-magic	ITEM_EQUIP	true	8
item.amulet-of-strength	Amulet of strength	Protective or decorative equipment.	ITEM	UNCOMMON	SUPPORT	item-family.amulet-of-strength	ITEM_EQUIP	true	8
item.anchovies	Anchovies	Some nicely cooked anchovies.	ITEM	UNCOMMON	SUPPORT	item-family.anchovies	ITEM_CONSUME	true	5
item.body-rune	Body rune	A rune carrying magical power.	ITEM	COMMON	COMBAT_METHOD	item-family.body-rune	ITEM_ACTIVATE	true	8
item.bowl	Bowl	A useful piece of combat equipment.	ITEM	RARE	COMBAT_METHOD	item-family.bowl	ITEM_EQUIP	true	8
item.bread	Bread	Nice crispy bread.	ITEM	COMMON	SUPPORT	item-family.bread	ITEM_CONSUME	true	2
item.bronze-arrow	Bronze arrow	A useful piece of combat equipment.	ITEM	COMMON	COMBAT_METHOD	item-family.bronze-arrow	ITEM_EQUIP	true	8
item.bronze-bar	Bronze bar	A valuable crafting or smithing material.	ITEM	UNCOMMON	PROCESSING_INPUT	item-family.bronze-bar	ITEM_PROCESS	true	8
item.bronze-chainbody	Bronze chainbody	Protective or decorative equipment.	ITEM	COMMON	SUPPORT	item-family.bronze-chainbody	ITEM_EQUIP	true	8
item.bronze-crossbow	Bronze crossbow	A useful piece of combat equipment.	ITEM	COMMON	COMBAT_METHOD	item-family.bronze-crossbow	ITEM_EQUIP	true	8
item.bronze-longsword	Bronze longsword	A useful piece of combat equipment.	ITEM	COMMON	COMBAT_METHOD	item-family.bronze-longsword	ITEM_EQUIP	true	8
item.bronze_2h_sword	Bronze 2h sword	A two handed sword.	ITEM	COMMON	COMBAT_METHOD	item-family.bronze_2h_sword	ITEM_EQUIP	true	5
item.bronze_axe	Bronze axe	A woodcutter's axe.	ITEM	COMMON	GATHERING_TOOL	item-family.bronze_axe	ITEM_EQUIP,ITEM_PROCESS,ITEM_USE_ON_OBJECT	true	1
item.bronze_dagger	Bronze dagger	Short but pointy.	ITEM	COMMON	COMBAT_METHOD	item-family.bronze_dagger	ITEM_EQUIP	true	5
item.bronze_full_helm	Bronze full helm	A full face helmet.	ITEM	COMMON	SUPPORT	item-family.bronze_full_helm	ITEM_EQUIP	true	5
item.bronze_kiteshield	Bronze kiteshield	A large metal shield.	ITEM	COMMON	SUPPORT	item-family.bronze_kiteshield	ITEM_EQUIP	true	5
item.bronze_mace	Bronze mace	A spiky mace.	ITEM	COMMON	COMBAT_METHOD	item-family.bronze_mace	ITEM_EQUIP	true	2
item.bronze_med_helm	Bronze med helm	A medium sized helmet.	ITEM	COMMON	SUPPORT	item-family.bronze_med_helm	ITEM_EQUIP	true	1
item.bronze_pickaxe	Bronze pickaxe	Used for mining.	ITEM	COMMON	GATHERING_TOOL	item-family.bronze_pickaxe	ITEM_EQUIP,ITEM_PROCESS,ITEM_USE_ON_OBJECT	true	1
