family_id	entity_type	canonical_id	variant_ids	family_version	free_to_play
item-family.adamant-2h-sword	ITEM	1317		8	true
item-family.adamant-arrow	ITEM	890		8	true
item-family.adamant-chainbody	ITEM	1111		8	true
item-family.adamant-dagger	ITEM	1211		8	true
item-family.adamant-full-helm	ITEM	1161		8	true
item-family.adamant-kiteshield	ITEM	1199		8	true
item-family.adamant-longsword	ITEM	1301		8	true
item-family.adamant-mace	ITEM	1430		8	true
item-family.adamant-platebody	ITEM	1123		8	true
item-family.adamant-platelegs	ITEM	1073		8	true
item-family.adamant-scimitar	ITEM	1331		8	true
item-family.adamant-sq-shield	ITEM	1183		8	true
item-family.adamant-sword	ITEM	1287		8	true
item-family.adamantite-bar	ITEM	2361		8	true
item-family.adamantite-ore	ITEM	449		8	true
item-family.air-rune	ITEM	556		8	true
item-family.amulet-of-accuracy	ITEM	1478		8	true
item-family.amulet-of-defence	ITEM	1729		8	true
item-family.amulet-of-magic	ITEM	1727		8	true
item-family.amulet-of-strength	ITEM	1725		8	true
item-family.anchovies	ITEM	319		5	true
item-family.body-rune	ITEM	559		8	true
item-family.bowl	ITEM	1923		8	true
item-family.bread	ITEM	2309		2	true
item-family.bronze-arrow	ITEM	882		8	true
item-family.bronze-bar	ITEM	2349		8	true
item-family.bronze-chainbody	ITEM	1103		8	true
item-family.bronze-crossbow	ITEM	9174		8	true
item-family.bronze-longsword	ITEM	1291		8	true
item-family.bronze_2h_sword	ITEM	1307		5	true
item-family.bronze_axe	ITEM	1351		1	true
item-family.bronze_dagger	ITEM	1205		5	true
item-family.bronze_full_helm	ITEM	1155		5	true
item-family.bronze_kiteshield	ITEM	1189		5	true
item-family.bronze_mace	ITEM	1422		2	true
item-family.bronze_med_helm	ITEM	1139		1	true
item-family.bronze_pickaxe	ITEM	1265		1	true
item-family.bronze_platebody	ITEM	1117		5	true
item-family.bronze_platelegs	ITEM	1075		5	true
item-family.bronze_scimitar	ITEM	1321		5	true
item-family.bronze_sword	ITEM	1277		1	true
item-family.bucket	ITEM	1925		8	true
item-family.chaos-rune	ITEM	562		8	true
item-family.chisel	ITEM	1755		8	true
item-family.coal	ITEM	453		8	true
item-family.cooked_chicken	ITEM	2140		5	true
item-family.cooked_meat	ITEM	2142		2	true
item-family.copper_ore	ITEM	436		1	true
item-family.cosmic-rune	ITEM	564		8	true
item-family.death-rune	ITEM	560		8	true
item-family.diamond	ITEM	1601		8	true
item-family.diamond-necklace	ITEM	1662		8	true
item-family.diamond-ring	ITEM	1643		8	true
item-family.earth-rune	ITEM	557		8	true
item-family.emerald	ITEM	1605		8	true
item-family.emerald-necklace	ITEM	1658		8	true
item-family.emerald-ring	ITEM	1639		8	true
item-family.fire-rune	ITEM	554		8	true
item-family.gold-bar	ITEM	2357		8	true
item-family.gold-necklace	ITEM	1654		8	true
item-family.gold-ore	ITEM	444		8	true
item-family.gold-ring	ITEM	1635		8	true
item-family.hammer	ITEM	2347		8	true
item-family.hardleather_body	ITEM	1131		5	true
item-family.herring	ITEM	347		5	true
item-family.iron-arrow	ITEM	884		8	true
item-family.iron-bar	ITEM	2351		8	true
item-family.iron-chainbody	ITEM	1101		8	true
item-family.iron-crossbow	ITEM	9177		8	true
item-family.iron-longsword	ITEM	1293		8	true
item-family.iron-ore	ITEM	440		8	true
item-family.iron_2h_sword	ITEM	1309		5	true
item-family.iron_dagger	ITEM	1203		2	true
item-family.iron_full_helm	ITEM	1153		5	true
item-family.iron_kiteshield	ITEM	1191		5	true
item-family.iron_med_helm	ITEM	1137		5	true
item-family.iron_platebody	ITEM	1115		5	true
item-family.iron_platelegs	ITEM	1067		5	true
item-family.iron_scimitar	ITEM	1323		5	true
item-family.iron_sword	ITEM	1279		5	true
