api_class	constant_name	expected_id	catalogue_entity
net.runelite.api.ItemID	BRONZE_SWORD	1277	item-family.bronze_sword
net.runelite.api.NpcID	GOBLIN_3028	3028	npc-family.goblin
net.runelite.api.NpcID	GOBLIN_3029	3029	npc-family.goblin
net.runelite.api.NpcID	GOBLIN_3030	3030	npc-family.goblin
net.runelite.api.NpcID	GOBLIN_3031	3031	npc-family.goblin
net.runelite.api.NpcID	GOBLIN_3032	3032	npc-family.goblin
net.runelite.api.NpcID	GOBLIN_3033	3033	npc-family.goblin
net.runelite.api.NpcID	GOBLIN_3034	3034	npc-family.goblin
net.runelite.api.NpcID	GOBLIN_3035	3035	npc-family.goblin
net.runelite.api.NpcID	GOBLIN_3036	3036	npc-family.goblin
net.runelite.api.ItemID	SHRIMPS	315	item-family.shrimps
net.runelite.api.ItemID	WOODEN_SHIELD	1171	item-family.wooden_shield
net.runelite.api.ItemID	BRONZE_MED_HELM	1139	item-family.bronze_med_helm
net.runelite.api.ItemID	BRONZE_AXE	1351	item-family.bronze_axe
net.runelite.api.ItemID	SMALL_FISHING_NET	303	item-family.small_fishing_net
net.runelite.api.ItemID	BRONZE_PICKAXE	1265	item-family.bronze_pickaxe
net.runelite.api.ItemID	LOGS	1511	item-family.logs
net.runelite.api.ItemID	RAW_SHRIMPS	317	item-family.raw_shrimps
net.runelite.api.ItemID	COPPER_ORE	436	item-family.copper_ore
net.runelite.api.ItemID	TINDERBOX	590	item-family.tinderbox
net.runelite.api.ItemID	BRONZE_MACE	1422	item-family.bronze_mace
net.runelite.api.ItemID	IRON_DAGGER	1203	item-family.iron_dagger
net.runelite.api.ItemID	SHORTBOW	841	item-family.shortbow
net.runelite.api.ItemID	STAFF_OF_AIR	1381	item-family.staff_of_air
net.runelite.api.ItemID	LEATHER_BODY	1129	item-family.leather_body
net.runelite.api.ItemID	LEATHER_GLOVES	1059	item-family.leather_gloves
net.runelite.api.ItemID	BREAD	2309	item-family.bread
