card_id	display_name	examine_text	card_type	rarity	categories	entity_family_id	permissions	free_to_play	introduced_version
item.10th_squad_sigil.4035	10th squad sigil	A piece of usable equipment.	ITEM	COMMON	SUPPORT	cache-item-family.10th_squad_sigil.4035	ITEM_EQUIP	false	9
item.3rd_age_amulet.10344	3rd age amulet	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_amulet.10344	ITEM_EQUIP	false	9
item.3rd_age_axe.20011	3rd age axe	A piece of usable equipment.	ITEM	GODLY	COMBAT_METHOD	cache-item-family.3rd_age_axe.20011	ITEM_EQUIP	false	9
item.3rd_age_bow.12424	3rd age bow	A piece of usable equipment.	ITEM	GODLY	COMBAT_METHOD	cache-item-family.3rd_age_bow.12424	ITEM_EQUIP	false	9
item.3rd_age_cloak.12437	3rd age cloak	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_cloak.12437	ITEM_EQUIP	false	9
item.3rd_age_druidic_cloak.23345	3rd age druidic cloak	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_druidic_cloak.23345	ITEM_EQUIP	false	9
item.3rd_age_druidic_robe_bottoms.23339	3rd age druidic robe bottoms	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_druidic_robe_bottoms.23339	ITEM_EQUIP	false	9
item.3rd_age_druidic_robe_top.23336	3rd age druidic robe top	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_druidic_robe_top.23336	ITEM_EQUIP	false	9
item.3rd_age_druidic_staff.23342	3rd age druidic staff	A piece of usable equipment.	ITEM	GODLY	COMBAT_METHOD	cache-item-family.3rd_age_druidic_staff.23342	ITEM_EQUIP	false	9
item.3rd_age_felling_axe.28226	3rd age felling axe	A piece of usable equipment.	ITEM	GODLY	COMBAT_METHOD	cache-item-family.3rd_age_felling_axe.28226	ITEM_EQUIP	false	9
item.3rd_age_full_helmet.10350	3rd age full helmet	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_full_helmet.10350	ITEM_EQUIP	false	9
item.3rd_age_kiteshield.10352	3rd age kiteshield	A piece of usable equipment.	ITEM	GODLY	COMBAT_METHOD	cache-item-family.3rd_age_kiteshield.10352	ITEM_EQUIP	false	9
item.3rd_age_longsword.12426	3rd age longsword	A piece of usable equipment.	ITEM	GODLY	COMBAT_METHOD	cache-item-family.3rd_age_longsword.12426	ITEM_EQUIP	false	9
item.3rd_age_mage_hat.10342	3rd age mage hat	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_mage_hat.10342	ITEM_EQUIP	false	9
item.3rd_age_pickaxe.20014	3rd age pickaxe	A piece of usable equipment.	ITEM	GODLY	COMBAT_METHOD	cache-item-family.3rd_age_pickaxe.20014	ITEM_EQUIP	false	9
item.3rd_age_platebody.10348	3rd age platebody	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_platebody.10348	ITEM_EQUIP	false	9
item.3rd_age_platelegs.10346	3rd age platelegs	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_platelegs.10346	ITEM_EQUIP	false	9
item.3rd_age_plateskirt.23242	3rd age plateskirt	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_plateskirt.23242	ITEM_EQUIP	false	9
item.3rd_age_range_coif.10334	3rd age range coif	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_range_coif.10334	ITEM_EQUIP	false	9
item.3rd_age_range_legs.10332	3rd age range legs	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_range_legs.10332	ITEM_EQUIP	false	9
item.3rd_age_range_top.10330	3rd age range top	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_range_top.10330	ITEM_EQUIP	false	9
item.3rd_age_robe.10340	3rd age robe	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_robe.10340	ITEM_EQUIP	false	9
item.3rd_age_robe_top.10338	3rd age robe top	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_robe_top.10338	ITEM_EQUIP	false	9
item.3rd_age_vambraces.10336	3rd age vambraces	A piece of usable equipment.	ITEM	GODLY	SUPPORT	cache-item-family.3rd_age_vambraces.10336	ITEM_EQUIP	false	9
item.3rd_age_wand.12422	3rd age wand	A piece of usable equipment.	ITEM	GODLY	COMBAT_METHOD	cache-item-family.3rd_age_wand.12422	ITEM_EQUIP	false	9
item.a_jester_stick.10840	A jester stick	A piece of usable equipment.	ITEM	RARE	COMBAT_METHOD	cache-item-family.a_jester_stick.10840	ITEM_EQUIP	false	9
item.a_powdered_wig.10392	A powdered wig	A piece of usable equipment.	ITEM	COMMON	SUPPORT	cache-item-family.a_powdered_wig.10392	ITEM_EQUIP	false	9
item.abyssal_ashes.25775	Abyssal ashes	An interactable item.	ITEM	COMMON	UTILITY	cache-item-family.abyssal_ashes.25775	ITEM_ACTIVATE	false	9
item.abyssal_bludgeon.13263	Abyssal bludgeon	A piece of usable equipment.	ITEM	LEGENDARY	COMBAT_METHOD	cache-item-family.abyssal_bludgeon.13263	ITEM_EQUIP	false	9
item.abyssal_bracelet_5.11095	Abyssal bracelet	A piece of usable equipment.	ITEM	COMMON	SUPPORT	cache-item-family.abyssal_bracelet_5.11095	ITEM_EQUIP	false	9
item.abyssal_dagger.13265	Abyssal dagger	A piece of usable equipment.	ITEM	LEGENDARY	COMBAT_METHOD	cache-item-family.abyssal_dagger.13265	ITEM_EQUIP	false	9
item.abyssal_dagger_bh.27861	Abyssal dagger (bh)	A piece of usable equipment.	ITEM	RARE	COMBAT_METHOD	cache-item-family.abyssal_dagger_bh.27861	ITEM_EQUIP	false	9
item.abyssal_lantern.26822	Abyssal lantern	A piece of usable equipment.	ITEM	RARE	COMBAT_METHOD	cache-item-family.abyssal_lantern.26822	ITEM_EQUIP	false	9
item.abyssal_needle.26813	Abyssal needle	A useful tool.	ITEM	COMMON	GATHERING_TOOL	cache-item-family.abyssal_needle.26813	ITEM_PROCESS	false	9
item.abyssal_tentacle.12006	Abyssal tentacle	A piece of usable equipment.	ITEM	LEGENDARY	COMBAT_METHOD	cache-item-family.abyssal_tentacle.12006	ITEM_EQUIP	false	9
item.abyssal_whip.4151	Abyssal whip	A piece of usable equipment.	ITEM	EPIC	COMBAT_METHOD	cache-item-family.abyssal_whip.4151	ITEM_EQUIP	false	9
item.acatzin_s_axe.30989	Acatzin's axe	A piece of usable equipment.	ITEM	RARE	COMBAT_METHOD	cache-item-family.acatzin_s_axe.30989	ITEM_EQUIP	false	9
