card_id	examine_text	source	reference
item.10th_squad_sigil.4035	It's the official sigil of the 10th squad of the Royal Guard.	Old School RuneScape Wiki	10th squad sigil; revision 15182884; canonical ID 4035
item.3rd_age_amulet.10344	Fabulously ancient mage protection enchanted in the 3rd Age.	Old School RuneScape Wiki	3rd age amulet; revision 15186800; canonical ID 10344
item.3rd_age_axe.20011	A beautifully crafted axe, shaped by ancient smiths.	Old School RuneScape Wiki	3rd age axe; revision 15187660; canonical ID 20011
item.3rd_age_bow.12424	A beautifully crafted bow carved by ancient archers.	Old School RuneScape Wiki	3rd age bow; revision 15186029; canonical ID 12424
item.3rd_age_cloak.12437	A beautiful cloak woven by ancient tailors.	Old School RuneScape Wiki	3rd age cloak; revision 15197732; canonical ID 12437
item.3rd_age_druidic_cloak.23345	A fabulously ancient vine cloak as worn by the druids of old.	Old School RuneScape Wiki	3rd age druidic cloak; revision 15189233; canonical ID 23345
item.3rd_age_druidic_robe_bottoms.23339	A fabulously ancient woven robe as worn by the druids of old.	Old School RuneScape Wiki	3rd age druidic robe bottoms; revision 15189231; canonical ID 23339
item.3rd_age_druidic_robe_top.23336	A fabulously ancient woven robe top as worn by the druids of old.	Old School RuneScape Wiki	3rd age druidic robe top; revision 15189230; canonical ID 23336
item.3rd_age_druidic_staff.23342	A fabulously ancient gnarled staff as used by the druids of old.	Old School RuneScape Wiki	3rd age druidic staff; revision 15189232; canonical ID 23342
item.3rd_age_felling_axe.28226	A beautifully crafted felling axe, shaped by ancient smiths.	Old School RuneScape Wiki	3rd age felling axe; revision 15191394; canonical ID 28226
item.3rd_age_full_helmet.10350	Fabulously ancient armour beaten from magical silver.	Old School RuneScape Wiki	3rd age full helmet; revision 15225230; canonical ID 10350
item.3rd_age_kiteshield.10352	Fabulously ancient armour beaten from magical silver.	Old School RuneScape Wiki	3rd age kiteshield; revision 15186787; canonical ID 10352
item.3rd_age_longsword.12426	A beautifully crafted sword forged by ancient blacksmiths.	Old School RuneScape Wiki	3rd age longsword; revision 15186035; canonical ID 12426
item.3rd_age_mage_hat.10342	Fabulously ancient mage protection enchanted in the 3rd Age.	Old School RuneScape Wiki	3rd age mage hat; revision 15186788; canonical ID 10342
item.3rd_age_pickaxe.20014	A beautifully crafted pickaxe, shaped by ancient smiths.	Old School RuneScape Wiki	3rd age pickaxe; revision 15255185; canonical ID 20014
item.3rd_age_platebody.10348	Fabulously ancient armour beaten from magical silver.	Old School RuneScape Wiki	3rd age platebody; revision 15186785; canonical ID 10348
item.3rd_age_platelegs.10346	Fabulously ancient armour beaten from magical silver.	Old School RuneScape Wiki	3rd age platelegs; revision 15186786; canonical ID 10346
item.3rd_age_plateskirt.23242	Fabulously ancient armour beaten from magical silver.	Old School RuneScape Wiki	3rd age plateskirt; revision 15189217; canonical ID 23242
item.3rd_age_range_coif.10334	Fabulously ancient range protection crafted from white dragonhide.	Old School RuneScape Wiki	3rd age range coif; revision 15186791; canonical ID 10334
item.3rd_age_range_legs.10332	Fabulously ancient range protection crafted from white dragonhide.	Old School RuneScape Wiki	3rd age range legs; revision 15186794; canonical ID 10332
item.3rd_age_range_top.10330	Fabulously ancient range protection crafted from white dragonhide.	Old School RuneScape Wiki	3rd age range top; revision 15186792; canonical ID 10330
item.3rd_age_robe.10340	Fabulously ancient mage protection enchanted in the 3rd Age.	Old School RuneScape Wiki	3rd age robe; revision 15186790; canonical ID 10340
item.3rd_age_robe_top.10338	Fabulously ancient mage protection enchanted in the 3rd Age.	Old School RuneScape Wiki	3rd age robe top; revision 15186789; canonical ID 10338
item.3rd_age_vambraces.10336	Fabulously ancient range protection crafted from white dragonhide.	Old School RuneScape Wiki	3rd age vambraces; revision 15186793; canonical ID 10336
item.3rd_age_wand.12422	A beautifully crafted wand infused by ancient wizards.	Old School RuneScape Wiki	3rd age wand; revision 15275334; canonical ID 12422
item.a_jester_stick.10840	A jester stick.	Old School RuneScape Wiki	A jester stick; revision 15188911; canonical ID 10840
item.a_powdered_wig.10392	A big do about nothing.	Old School RuneScape Wiki	A powdered wig; revision 15185415; canonical ID 10392
item.abyssal_ashes.25775	A heap of ashes.	Old School RuneScape Wiki	Abyssal ashes; revision 15270840; canonical ID 25775
item.abyssal_bludgeon.13263	Elements of deceased Abyssal Sires have been fused together.	Old School RuneScape Wiki	Abyssal bludgeon; revision 15186994; canonical ID 13263
item.abyssal_bracelet_5.11095	Makes using the Abyss just slightly safer.	Old School RuneScape Wiki	Abyssal bracelet(5); revision 15184161; canonical ID 11095
item.abyssal_dagger.13265	Something sharp from the body of a defeated Abyssal Sire.	Old School RuneScape Wiki	Abyssal dagger; revision 15271162; canonical ID 13265
item.abyssal_dagger_bh.27861	Something sharp from the body of a defeated Abyssal Sire.	Old School RuneScape Wiki	Abyssal dagger (bh); revision 15238868; canonical ID 27861
item.abyssal_lantern.26822	A lantern containing power from the Abyss.	Old School RuneScape Wiki	Abyssal lantern; revision 15233252; canonical ID 26822
item.abyssal_needle.26813	A needle designed for use with abyssal materials.	Old School RuneScape Wiki	Abyssal needle; revision 15190790; canonical ID 26813
item.abyssal_tentacle.12006	A weapon from the Abyss, embedded in a slimy tentacle.	Old School RuneScape Wiki	Abyssal tentacle; revision 15272419; canonical ID 12006
item.abyssal_whip.4151	A weapon from the Abyss.	Old School RuneScape Wiki	Abyssal whip; revision 15252654; canonical ID 4151
item.acatzin_s_axe.30989	It needs repairing.	Old School RuneScape Wiki	Acatzin's axe; revision 15131634; canonical ID 30989
item.accordion.31365	A musical device.	Old School RuneScape Wiki	Accordion; revision 15209159; canonical ID 31365
item.accumulation_charm.30682	A magical, helpful charm.	Pinned RuneLite OSRS cache	build 239; item ID 30682
item.accumulator_max_cape.13337	The cape worn by only the most experienced players.	Old School RuneScape Wiki	Accumulator max cape; revision 15262597; canonical ID 13337
item.accumulator_max_hood.13338	The hood worn by only the most experienced players.	Old School RuneScape Wiki	Accumulator max hood; revision 15187146; canonical ID 13338
item.accursed_sceptre.27665	A mighty sceptre from long forgotten battles, corrupted by the power of Vet'ion.	Old School RuneScape Wiki	Accursed sceptre; revision 15276737; canonical ID 27665
item.accursed_sceptre_a.27679	A mighty sceptre used in long forgotten battles.	Old School RuneScape Wiki	Accursed sceptre (a); revision 15264476; canonical ID 27679
item.accursed_sceptre_au.27676	A mighty sceptre used in long forgotten battles.	Old School RuneScape Wiki	Accursed sceptre (au); revision 15264476; canonical ID 27676
item.accursed_sceptre_u.27662	A mighty sceptre from long forgotten battles, corrupted by the power of Vet'ion.	Old School RuneScape Wiki	Accursed sceptre (u); revision 15276737; canonical ID 27662
item.achey_tree_logs.2862	These logs are longer than normal.	Old School RuneScape Wiki	Achey tree logs; revision 15226200; canonical ID 2862
item.achievement_diary_cape.19476	The cape worn by experienced adventurers.	Old School RuneScape Wiki	Achievement diary cape; revision 15255604; canonical ID 19476
item.achievement_diary_hood.13070	Achievement diary cape hood.	Old School RuneScape Wiki	Achievement diary hood; revision 15186694; canonical ID 13070
item.acorn.5312	Plant this in a plantpot of soil to grow a sapling.	Pinned RuneLite OSRS cache	build 239; item ID 5312
item.adamant-2h-sword	A two handed sword.	Old School RuneScape Wiki	Adamant 2h sword; revision 15242601; canonical ID 1317
item.adamant-arrow	Arrows with adamant heads.	Old School RuneScape Wiki	Adamant arrow; revision 15242606; canonical ID 890
item.adamant-chainbody	A series of connected metal rings.	Old School RuneScape Wiki	Adamant chainbody; revision 15182714; canonical ID 1111
item.adamant-dagger	Short and deadly.	Old School RuneScape Wiki	Adamant dagger; revision 15242603; canonical ID 1211
item.adamant-full-helm	A full face helmet.	Old School RuneScape Wiki	Adamant full helm; revision 15242614; canonical ID 1161
item.adamant-kiteshield	A large metal shield.	Old School RuneScape Wiki	Adamant kiteshield; revision 15182727; canonical ID 1199
item.adamant-longsword	A razor sharp longsword.	Old School RuneScape Wiki	Adamant longsword; revision 15182732; canonical ID 1301
item.adamant-mace	A spiky mace.	Old School RuneScape Wiki	Adamant mace; revision 15242605; canonical ID 1430
item.adamant-platebody	Provides excellent protection.	Old School RuneScape Wiki	Adamant platebody; revision 15242612; canonical ID 1123
item.adamant-platelegs	These look pretty heavy.	Old School RuneScape Wiki	Adamant platelegs; revision 15242613; canonical ID 1073
item.adamant-scimitar	A vicious, curved sword.	Old School RuneScape Wiki	Adamant scimitar; revision 15242604; canonical ID 1331
item.adamant-sq-shield	A medium square shield.	Old School RuneScape Wiki	Adamant sq shield; revision 15182746; canonical ID 1183
item.adamant-sword	A razor sharp sword.	Old School RuneScape Wiki	Adamant sword; revision 15242602; canonical ID 1287
item.adamant_arrowtips.43	I can make some arrows with these.	Old School RuneScape Wiki	Adamant arrowtips; revision 15182662; canonical ID 43
item.adamant_axe.1357	A powerful axe.	Old School RuneScape Wiki	Adamant axe; revision 15242621; canonical ID 1357
item.adamant_battleaxe.1371	A vicious looking axe.	Old School RuneScape Wiki	Adamant battleaxe; revision 15182711; canonical ID 1371
item.adamant_bolts.9143	Adamantite crossbow bolts.	Old School RuneScape Wiki	Adamant bolts; revision 15262051; canonical ID 9143
item.adamant_bolts_unf.9380	Unfeathered adamantite crossbow bolts.	Pinned RuneLite OSRS cache	build 239; item ID 9380
item.adamant_boots.4129	These will protect my feet.	Old School RuneScape Wiki	Adamant boots; revision 15182713; canonical ID 4129
