family_id	entity_type	canonical_id	variant_ids	family_version	free_to_play
cache-item-family.10th_squad_sigil.4035	ITEM	4035	17938	9	false
cache-item-family.3rd_age_amulet.10344	ITEM	10344	10345,16086	9	false
cache-item-family.3rd_age_axe.20011	ITEM	20011	20012,20013	9	false
cache-item-family.3rd_age_bow.12424	ITEM	12424	12425,15960	9	false
cache-item-family.3rd_age_cloak.12437	ITEM	12437	12438,15967	9	false
cache-item-family.3rd_age_druidic_cloak.23345	ITEM	23345	23346,23347	9	false
cache-item-family.3rd_age_druidic_robe_bottoms.23339	ITEM	23339	23340,23341	9	false
cache-item-family.3rd_age_druidic_robe_top.23336	ITEM	23336	23337,23338	9	false
cache-item-family.3rd_age_druidic_staff.23342	ITEM	23342	23343,23344	9	false
cache-item-family.3rd_age_felling_axe.28226	ITEM	28226	28227,28228	9	false
cache-item-family.3rd_age_full_helmet.10350	ITEM	10350	10351,16089	9	false
cache-item-family.3rd_age_kiteshield.10352	ITEM	10352	10353,16090	9	false
cache-item-family.3rd_age_longsword.12426	ITEM	12426	12427,15961	9	false
cache-item-family.3rd_age_mage_hat.10342	ITEM	10342	10343,16085,27183	9	false
cache-item-family.3rd_age_pickaxe.20014	ITEM	20014	20015,20016	9	false
cache-item-family.3rd_age_platebody.10348	ITEM	10348	10349,16088	9	false
cache-item-family.3rd_age_platelegs.10346	ITEM	10346	10347,16087	9	false
cache-item-family.3rd_age_plateskirt.23242	ITEM	23242	23243,23244	9	false
cache-item-family.3rd_age_range_coif.10334	ITEM	10334	10335,16081,27201	9	false
cache-item-family.3rd_age_range_legs.10332	ITEM	10332	10333,16080,27200	9	false
cache-item-family.3rd_age_range_top.10330	ITEM	10330	10331,16079,27199	9	false
cache-item-family.3rd_age_robe.10340	ITEM	10340	10341,16084,20577	9	false
cache-item-family.3rd_age_robe_top.10338	ITEM	10338	10339,16083,20576	9	false
cache-item-family.3rd_age_vambraces.10336	ITEM	10336	10337,16082	9	false
cache-item-family.3rd_age_wand.12422	ITEM	12422	12423,15959	9	false
cache-item-family.a_jester_stick.10840	ITEM	10840	17673	9	false
cache-item-family.a_powdered_wig.10392	ITEM	10392	10393,16106	9	false
cache-item-family.abyssal_ashes.25775	ITEM	25775	25776,25777	9	false
cache-item-family.abyssal_bludgeon.13263	ITEM	13263	13264,18628	9	false
cache-item-family.abyssal_bracelet_5.11095	ITEM	11095	11096,11097,11098,11099,11100,11101,11102,11103,11104,16263,21448	10	false
cache-item-family.abyssal_dagger.13265	ITEM	13265	13266,13267,13268,13269,13270,13271,13272,18629,18630,18631,18632	9	false
cache-item-family.abyssal_dagger_bh.27861	ITEM	27861	27862,27863,27864,27865,27866,27867,27868	9	false
cache-item-family.abyssal_lantern.26822	ITEM	26822	26823,26824,26825,26826,26827,26828,26829,26830,26831,26832,26833,26834,26835,26836,26837,26838,26839,26840,26841,26842,26843,26844,26845,26846,26847,26848,26849	13	false
cache-item-family.abyssal_needle.26813	ITEM	26813	26814	9	false
cache-item-family.abyssal_tentacle.12006	ITEM	12006	14006,26484,26485	9	false
cache-item-family.abyssal_whip.4151	ITEM	4151	4152,4178,14032,20405,26482,26483	9	false
cache-item-family.acatzin_s_axe.30989	ITEM	30989	30990	9	false
cache-item-family.accordion.31365	ITEM	31365	31366,31367,31368,31369,31370	9	false
cache-item-family.accumulation_charm.30682	ITEM	30682	30683,30684	14	false
cache-item-family.accumulator_max_cape.13337	ITEM	13337	14291	9	false
cache-item-family.accumulator_max_hood.13338	ITEM	13338	14292	9	false
cache-item-family.accursed_sceptre.27665	ITEM	27665	27666	9	false
