card_id	display_name	card_type	rarity	retired_version	reason
item.24_carat_sword.24539	'24-carat' sword	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.adamant_axe_head.518	Adamant axe head	ITEM	RARE	13	INACCESSIBLE_CACHE_CONTENT
item.ancient_mjolnir.7804	Ancient mjolnir	ITEM	RARE	13	INACCESSIBLE_CACHE_CONTENT
item.annihilation_blueprints.33015	Annihilation blueprints	ITEM	UNCOMMON	15	DEADMAN_REWARD
item.annihilation_teleport_scroll.33018	Annihilation teleport scroll	ITEM	UNCOMMON	15	DEADMAN_REWARD
item.annihilation_weapon_scroll.33012	Annihilation weapon scroll	ITEM	UNCOMMON	15	DEADMAN_REWARD
item.anti_panties.13288	Anti-panties	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.armageddon_cape_fabric.29628	Armageddon cape fabric	ITEM	UNCOMMON	15	DEADMAN_REWARD
item.armageddon_rug.29619	Armageddon rug	ITEM	UNCOMMON	15	DEADMAN_REWARD
item.armageddon_teleport_scroll.29622	Armageddon teleport scroll	ITEM	UNCOMMON	15	DEADMAN_REWARD
item.armageddon_weapon_scroll.29625	Armageddon weapon scroll	ITEM	UNCOMMON	15	DEADMAN_REWARD
item.astral_tiara.9106	Astral tiara	ITEM	RARE	13	INACCESSIBLE_CACHE_CONTENT
item.banana_cape.25502	Banana cape	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.banana_hat.25840	Banana hat	ITEM	RARE	15	SEASONAL_OR_PROMOTIONAL_REWARD
item.banshee_mask.20773	Banshee mask	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.banshee_robe.20777	Banshee robe	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.banshee_top.20775	Banshee top	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.beer_belly_sweater.32930	Beer belly sweater	ITEM	RARE	15	SEASONAL_OR_PROMOTIONAL_REWARD
item.black_axe_head.514	Black axe head	ITEM	UNCOMMON	13	INACCESSIBLE_CACHE_CONTENT
item.black_h_ween_mask.11847	Black h'ween mask	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.blue_sweets.4558	Blue sweets	ITEM	UNCOMMON	13	INACCESSIBLE_CACHE_CONTENT
item.bob_the_cat_slippers.27806	Bob the cat slippers	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.book_of_egg.29433	Book of egg	ITEM	RARE	15	SEASONAL_OR_PROMOTIONAL_REWARD
item.broken_axe.494	Broken axe	ITEM	UNCOMMON	13	INACCESSIBLE_CACHE_CONTENT
item.broken_pickaxe.468	Broken pickaxe	ITEM	UNCOMMON	13	INACCESSIBLE_CACHE_CONTENT
item.cabbage_cape.13679	Cabbage cape	ITEM	RARE	15	SEASONAL_OR_PROMOTIONAL_REWARD
item.cat_ears.24525	Cat ears	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.chicken_feet.11019	Chicken feet	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.chicken_head.11021	Chicken head	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.chicken_legs.11022	Chicken legs	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.chicken_wings.11020	Chicken wings	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.classic_imp_hood.30648	Classic imp hood	ITEM	RARE	15	SEASONAL_OR_PROMOTIONAL_REWARD
item.classic_imp_tail.30646	Classic imp tail	ITEM	RARE	15	SEASONAL_OR_PROMOTIONAL_REWARD
item.cobweb_cape.28601	Cobweb cape	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.cow_gloves.12958	Cow gloves	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.cow_mask.11919	Cow mask	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.cow_shoes.12959	Cow shoes	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.cow_top.12956	Cow top	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.cow_trousers.12957	Cow trousers	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.crate_ring.26939	Crate ring	ITEM	RARE	13	HOLIDAY_EVENT_CONTENT
item.cruciferous_codex.13681	Cruciferous codex	ITEM	RARE	15	SEASONAL_OR_PROMOTIONAL_REWARD
item.crystal_bow_1_10.4223	Crystal bow 1/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_1_10_i.11758	Crystal bow 1/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_2_10.4222	Crystal bow 2/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_2_10_i.11757	Crystal bow 2/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_3_10.4221	Crystal bow 3/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_3_10_i.11756	Crystal bow 3/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_4_10.4220	Crystal bow 4/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_4_10_i.11755	Crystal bow 4/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_5_10.4219	Crystal bow 5/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_5_10_i.11754	Crystal bow 5/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_6_10.4218	Crystal bow 6/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_6_10_i.11753	Crystal bow 6/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_7_10.4217	Crystal bow 7/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_7_10_i.11752	Crystal bow 7/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_8_10.4216	Crystal bow 8/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_8_10_i.11751	Crystal bow 8/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_9_10.4215	Crystal bow 9/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_9_10_i.11750	Crystal bow 9/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_full.4214	Crystal bow full	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_bow_full_i.11749	Crystal bow full (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_dagger_perfected.30340	Crystal dagger (perfected)	ITEM	EPIC	15	RAGING_ECHOES_TEMPORARY_OR_REWARD_CONTENT
item.crystal_halberd_1_10.13101	Crystal halberd 1/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_1_10_i.13090	Crystal halberd 1/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_2_10.13100	Crystal halberd 2/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_2_10_i.13089	Crystal halberd 2/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_3_10.13099	Crystal halberd 3/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_3_10_i.13088	Crystal halberd 3/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_4_10.13098	Crystal halberd 4/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_4_10_i.13087	Crystal halberd 4/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_5_10.13097	Crystal halberd 5/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_5_10_i.13086	Crystal halberd 5/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_6_10.13096	Crystal halberd 6/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_6_10_i.13085	Crystal halberd 6/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_7_10.13095	Crystal halberd 7/10	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
item.crystal_halberd_7_10_i.13084	Crystal halberd 7/10 (i)	ITEM	EPIC	13	OBSOLETE_HISTORICAL_STATE
