card_id	display_name	card_type	entity_family_id	canonical_id	reason	runelite_constants
item.10th_birthday_balloons.27820	10th birthday balloons	ITEM	cache-item-family.10th_birthday_balloons.27820	27820	HOLIDAY_EVENT_CONTENT	_10TH_BIRTHDAY_BALLOONS
item.10th_birthday_cape.27812	10th birthday cape	ITEM	cache-item-family.10th_birthday_cape.27812	27812	HOLIDAY_EVENT_CONTENT	_10TH_BIRTHDAY_CAPE
item.20th_anniversary_boots.25328	20th anniversary boots	ITEM	cache-item-family.20th_anniversary_boots.25328	25328	HOLIDAY_EVENT_CONTENT	_20TH_ANNIVERSARY_BOOTS
item.20th_anniversary_bottom.25326	20th anniversary bottom	ITEM	cache-item-family.20th_anniversary_bottom.25326	25326	HOLIDAY_EVENT_CONTENT	_20TH_ANNIVERSARY_BOTTOM
item.20th_anniversary_cape.25334	20th anniversary cape	ITEM	cache-item-family.20th_anniversary_cape.25334	25334	HOLIDAY_EVENT_CONTENT	_20TH_ANNIVERSARY_CAPE
item.20th_anniversary_gloves.25330	20th anniversary gloves	ITEM	cache-item-family.20th_anniversary_gloves.25330	25330	HOLIDAY_EVENT_CONTENT	_20TH_ANNIVERSARY_GLOVES
item.20th_anniversary_hat.25322	20th anniversary hat	ITEM	cache-item-family.20th_anniversary_hat.25322	25322	HOLIDAY_EVENT_CONTENT	_20TH_ANNIVERSARY_HAT
item.20th_anniversary_necklace.25332	20th anniversary necklace	ITEM	cache-item-family.20th_anniversary_necklace.25332	25332	HOLIDAY_EVENT_CONTENT	_20TH_ANNIVERSARY_NECKLACE
item.20th_anniversary_top.25324	20th anniversary top	ITEM	cache-item-family.20th_anniversary_top.25324	25324	HOLIDAY_EVENT_CONTENT	_20TH_ANNIVERSARY_TOP
item.24_carat_sword.24539	'24-carat' sword	ITEM	cache-item-family.24_carat_sword.24539	24539	HOLIDAY_EVENT_CONTENT	_24CARAT_SWORD
item.25th_anniversary_5x5_hat.33086	25th anniversary 5x5 hat	ITEM	cache-item-family.25th_anniversary_5x5_hat.33086	33086	HOLIDAY_EVENT_CONTENT	_25TH_ANNIVERSARY_5X5_HAT
item.25th_anniversary_helmet.33080	25th anniversary helmet	ITEM	cache-item-family.25th_anniversary_helmet.33080	33080	HOLIDAY_EVENT_CONTENT	_25TH_ANNIVERSARY_HELMET
item.25th_anniversary_skeleton_tabard.33084	25th anniversary skeleton tabard	ITEM	cache-item-family.25th_anniversary_skeleton_tabard.33084	33084	HOLIDAY_EVENT_CONTENT	_25TH_ANNIVERSARY_SKELETON_TABARD
item.25th_anniversary_warrior_tabard.33082	25th anniversary warrior tabard	ITEM	cache-item-family.25th_anniversary_warrior_tabard.33082	33082	HOLIDAY_EVENT_CONTENT	_25TH_ANNIVERSARY_WARRIOR_TABARD
item.4th_birthday_hat.21211	4th birthday hat	ITEM	cache-item-family.4th_birthday_hat.21211	21211	HOLIDAY_EVENT_CONTENT	_4TH_BIRTHDAY_HAT
item.absorption_4.11734	Absorption	ITEM	cache-item-family.absorption_4.11734	11734	TEMPORARY_INSTANCE_ITEM	ABSORPTION_4,ABSORPTION_3,ABSORPTION_2,ABSORPTION_1
item.abyssal_potato.33118	Abyssal potato	ITEM	cache-item-family.abyssal_potato.33118	33118	HOLIDAY_EVENT_CONTENT	ABYSSAL_POTATO
item.adamant_axe_head.518	Adamant axe head	ITEM	cache-item-family.adamant_axe_head.518	518	INACCESSIBLE_CACHE_CONTENT	ADAMANT_AXE_HEAD
item.ambrosia_1.27349	Ambrosia (1)	ITEM	cache-item-family.ambrosia_1.27349	27349	TEMPORARY_INSTANCE_ITEM	AMBROSIA_1
item.ambrosia_2.27347	Ambrosia (2)	ITEM	cache-item-family.ambrosia_2.27347	27347	TEMPORARY_INSTANCE_ITEM	AMBROSIA_2
item.amulet_of_the_monarchs.30376	Amulet of the monarchs	ITEM	cache-item-family.amulet_of_the_monarchs.30376	30376	TEMPORARY_LEAGUES_CONTENT	AMULET_OF_THE_MONARCHS
