card_id	value
item.10th_squad_sigil.4035	Drop|Wear
item.3rd_age_amulet.10344	Drop|Wear
item.3rd_age_axe.20011	Drop|Wield
item.3rd_age_bow.12424	Drop|Wield
item.3rd_age_cloak.12437	Drop|Wear
item.3rd_age_druidic_cloak.23345	Drop|Wear
item.3rd_age_druidic_robe_bottoms.23339	Drop|Wear
item.3rd_age_druidic_robe_top.23336	Drop|Wear
item.3rd_age_druidic_staff.23342	Drop|Wield
item.3rd_age_felling_axe.28226	Drop|Wield
item.3rd_age_full_helmet.10350	Drop|Wear
item.3rd_age_kiteshield.10352	Drop|Wield
item.3rd_age_longsword.12426	Drop|Wield
item.3rd_age_mage_hat.10342	Drop|Wear
item.3rd_age_pickaxe.20014	Drop|Wield
item.3rd_age_platebody.10348	Drop|Wear
item.3rd_age_platelegs.10346	Drop|Wear
item.3rd_age_plateskirt.23242	Drop|Wear
item.3rd_age_range_coif.10334	Drop|Wear
item.3rd_age_range_legs.10332	Drop|Wear
item.3rd_age_range_top.10330	Drop|Wear
item.3rd_age_robe.10340	Drop|Wear
item.3rd_age_robe_top.10338	Drop|Wear
item.3rd_age_vambraces.10336	Drop|Wear
item.3rd_age_wand.12422	Drop|Wield
item.a_jester_stick.10840	Drop|Wield
item.a_powdered_wig.10392	Drop|Wear
item.abyssal_ashes.25775	Drop|Scatter
item.abyssal_bludgeon.13263	Drop|Wield
item.abyssal_bracelet_5.11095	Drop|Wear
item.abyssal_dagger.13265	Drop|Wield
item.abyssal_dagger_bh.27861	Dismantle|Drop|Wield
item.abyssal_lantern.26822	Drop|Wield|Destroy|Extinguish|Inspect
item.abyssal_needle.26813	Drop|Inspect
item.abyssal_tentacle.12006	Check|Dissolve|Drop|Wield
item.abyssal_whip.4151	Drop|Wield
item.acatzin_s_axe.30989	Destroy|Inspect|Wield
item.accordion.31365	Destroy|Drop|Play
item.accumulation_charm.30682	Drop|Inspect
item.accumulator_max_cape.13337	Commune|Drop|Wear
item.accumulator_max_hood.13338	Drop|Wear
item.accursed_sceptre.27665	Check|Drop|Swap|Uncharge|Wield
item.accursed_sceptre_a.27679	Check|Drop|Swap|Uncharge|Wield
item.accursed_sceptre_au.27676	Dismantle|Drop|Swap|Wield
item.accursed_sceptre_u.27662	Dismantle|Drop|Swap|Wield
item.achey_tree_logs.2862	Drop
item.achievement_diary_cape.19476	Drop|Teleport|Trim|Wear
item.achievement_diary_hood.13070	Drop|Wear
item.acorn.5312	Drop
item.adamant-full-helm	Drop|Wear
item.adamant-kiteshield	Drop|Wear
item.adamant-platebody	Drop|Wear
item.adamant_arrowtips.43	Drop
item.adamant_axe.1357	Drop|Wield
item.adamant_battleaxe.1371	Drop|Wield
item.adamant_bolts.9143	Drop|Wield
item.adamant_bolts_unf.9380	Drop
item.adamant_boots.4129	Drop|Wear
item.adamant_brutal.4798	Drop|Wield
item.adamant_cane.12377	Drop|Wield
item.adamant_cannonball.31912	Drop
item.adamant_chainshot_cannonball.31926	Drop
item.adamant_claws.3100	Drop|Wear
item.adamant_crossbow.9183	Drop|Wield
item.adamant_crossbow_u.9463	Drop
item.adamant_dart.810	Drop|Wield
item.adamant_dart_tip.823	Drop
item.adamant_defender.8849	Drop|Wield
item.adamant_dragon_mask.23270	Drop|Wear
item.adamant_felling_axe.28211	Drop|Wield
item.adamant_fire_arrow.2538	Drop|Wield
item.adamant_gloves.7459	Drop|Wear
item.adamant_gold_trimmed_set_lg.13020	Drop
item.adamant_gold_trimmed_set_sk.13022	Drop
item.adamant_halberd.3200	Drop|Wield
item.adamant_hasta.11375	Drop|Wield
item.adamant_heraldic_helm.22159	Drop|Wear
item.adamant_incendiary_cannonball.31940	Drop
item.adamant_javelin.829	Drop|Wield
item.adamant_javelin_tips.19578	Drop
item.adamant_keel_parts.32011	Drop
item.adamant_knife.867	Drop|Wield
item.adamant_med_helm.1145	Drop|Wear
item.adamant_pickaxe.1271	Drop|Wield
item.adamant_plateskirt.1091	Drop|Wear
item.adamant_seeds.29458	Drop|Plant
item.adamant_set_lg.13012	Drop
item.adamant_set_sk.13014	Drop
item.adamant_spear.1245	Drop|Wield
item.adamant_staff_of_collection.30607	Create-book|Drop|Wield
item.adamant_thrownaxe.804	Drop|Wield
item.adamant_trimmed_set_lg.13016	Drop
item.adamant_trimmed_set_sk.13018	Drop
item.adamant_warhammer.1345	Drop|Wield
item.adamantite_limbs.9429	Drop
item.adamantite_nails.4823	Drop
item.adamantite_ore_fragment.21537	Drop
item.admiral_pie.7198	Drop|Eat
item.adventurer_s_boots_t1.27394	Drop|Wear
item.adventurer_s_boots_t2.27402	Drop|Wear
item.adventurer_s_boots_t3.27410	Drop|Wear
item.adventurer_s_cape.27442	Drop|Wear
