card_id	value
npc.a_corpse.15165	103
npc.a_doubt.3477	78
npc.aberrant_spectre.2	96
npc.abhorrent_spectre.7402	253
npc.abomination.8262	149
npc.abyssal_antibody.12372	30
npc.abyssal_demon.415	124
npc.abyssal_guardian.2585	59
npc.abyssal_leech.2584	32–54
npc.abyssal_sire.5886	350
npc.abyssal_walker.2586	81–109
npc.acidic_araxyte.13675	114
npc.acidic_bloodveld.9573	56
npc.adala.13824	49
npc.adamant_dragon.8030	338
npc.afflicted.1293	30–37
npc.agile_scarab.11727	53
npc.agile_warrior.13483	96
npc.agrith_na_na.4880	146–235
npc.agrith_naar.911	100–196
npc.ahrim_the_blighted.1672	98
npc.air_elemental.1369	34
npc.air_wizard.1559	13
npc.akkha.11789	337
npc.akkha_s_shadow.11797	108
npc.albatross.15224	110
npc.albino_bat.1039	52
npc.alchemical_hydra.8615	426
npc.alexis.2623	24
npc.alomone.12093	13
npc.alrik.3676	1
npc.ammonite_crab.7799	25
npc.amoxliatl.13685	226–263
npc.ancient_custodian.14520	239
npc.ancient_feral_vyre.15760	88–117
npc.ancient_guardian.10654	25–153
npc.ancient_wizard.7307	98–112
npc.ancient_wyvern.7795	210
npc.ancient_zygomite.7797	109
npc.angry_barbarian_spirit.5563	166
npc.angry_bear.1060	40–47
npc.angry_giant_rat.1062	45–47
npc.angry_goblin.1065	45–47
npc.angry_tortugan.15170	81
npc.angry_unicorn.1061	45–47
npc.animated_adamant_armour.2455	113
npc.animated_black_armour.2453	69
npc.animated_bronze_armour.2450	11
npc.animated_iron_armour.2451	23
npc.animated_mithril_armour.2454	92
npc.animated_rune_armour.2456	138
npc.animated_spade.6470	50
npc.animated_steel_armour.2452	46–53
npc.anja.3285	2
npc.ankou.2514	75–98
npc.anne.14949	83
npc.apparition.4195	75–81
npc.aquanite.15497	145
npc.araxxor.13668	890
npc.araxyte.11175	96–146
npc.arcane_scarab.11726	89
npc.archer.3301	37–42
npc.arianwyn.8865	212–378
npc.armadylean_guard.6587	97
npc.armoured_foe.7750	820
npc.armoured_kraken.15210	180
npc.armoured_zombie.12720	70–105
npc.arrav.14132	339
npc.arrg.643	113–210
npc.artio.11992	320
npc.arzinian_avatar_of_magic.1234	75–125
npc.arzinian_avatar_of_ranging.1231	75–125
npc.arzinian_avatar_of_strength.1228	75–125
npc.assassin.10940	132–262
npc.asyn_shade.1284	100
npc.asyn_shadow.1283	100–110
npc.augur_metzli.14313	396
npc.avatar_of_creation.10531	525
npc.avatar_of_destruction.10532	525
npc.aviansie.3169	69–148
npc.ba_ba.11778	359
npc.baboon.11781	77
npc.baboon_brawler.11709	56–68
npc.baboon_mage.11711	56–68
npc.baboon_shaman.11715	74
npc.baboon_thrall.11718	52
npc.baboon_thrower.11710	56–68
npc.baby_black_dragon.1871	83
npc.baby_blue_dragon.241	48
npc.baby_green_dragon.5194	48
npc.baby_red_dragon.137	48–65
npc.baby_roc.762	75
npc.baby_tanglefoot.5853	45
npc.balance_elemental.13528	524
npc.balfrug_kreeyath.3132	151
npc.bandit.690	22–130
npc.bandit_champion.738	70
npc.bandosian_guard.6588	125
npc.banshee.414	23
npc.barbarian.3055	7–17
npc.barbarian_guard.1028	8
npc.barbarian_warlord.10989	91
npc.bark_blamish_snail.2648	15
npc.barrelchest.600	190–380
npc.basilisk.417	61
npc.basilisk_knight.9293	204
npc.basilisk_sentinel.9258	358
npc.basilisk_youngling.9282	53
npc.bat.2827	6
npc.battle_mage.1610	54
npc.bear_cub.3908	15
npc.bedabin_nomad_fighter.4655	56
npc.bee_swarm.13658	545
npc.berry.4132	71
npc.berserk_barbarian_spirit.5565	166
npc.big_evil_chicken.15547	422
npc.big_frog.478	10–24
npc.big_snake.2978	84
npc.big_wolf.109	73
npc.billy_goat.1794	33
npc.bird.5240	5–11
npc.black_bear.2839	19
npc.black_chinchompa.2912	2
npc.black_demon.240	172–292
npc.black_dragon.252	227–247
npc.black_eye_bethel.15025	191
npc.black_golem.4742	75
npc.black_guard.1409	25–48
