card_id	approved_unique_drops	review_status	review_note
npc.aberrant_spectre.2	Mystic robe bottom (dark)	approved	Player-useful NPC-family unique drops approved for display
npc.abyssal_demon.415	Abyssal dagger, Abyssal head, Abyssal whip	approved	Player-useful NPC-family unique drops approved for display
npc.banshee.414	Mystic gloves (dark)	approved	Player-useful NPC-family unique drops approved for display
npc.basilisk.417	Basilisk head	approved	Player-useful NPC-family unique drops approved for display
npc.cave_crawler.406	Bronze boots	approved	Player-useful NPC-family unique drops approved for display
npc.cave_horror.1047	Black mask	approved	Player-useful NPC-family unique drops approved for display
npc.chicken	None	approved	Confirmed no notable unique drops
npc.chompy_bird.1475	Chompy chick, Raw chompy	approved	Player-useful NPC-family unique drops approved for display
npc.cockatrice.419	Cockatrice head, Mystic boots (light)	approved	Player-useful NPC-family unique drops approved for display
npc.commander_zilyana.2205	Armadyl crossbow, Pet zilyana, Saradomin hilt, Saradomin's light	approved	Player-useful NPC-family unique drops approved for display
npc.corporeal_beast.319	Arcane sigil, Elysian sigil, Holy elixir, Jar of spirits, Pet dark core, Spectral sigil, Spirit shield	approved	Player-useful NPC-family unique drops approved for display
npc.cyclops.2097	Dragon defender	approved	Player-useful NPC-family unique drops approved for display
npc.dagannoth_prime.2266	Farseer helm, Mud battlestaff, Pet dagannoth prime, Seers ring, Skeletal bottoms, Skeletal top	approved	Player-useful NPC-family unique drops approved for display
npc.dagannoth_rex.2267	Berserker ring, Pet dagannoth rex, Rock-shell legs, Rock-shell plate, Warrior ring	approved	Player-useful NPC-family unique drops approved for display
npc.dagannoth_supreme.2265	Archer helm, Archers ring, Pet dagannoth supreme, Seercull, Spined body, Spined chaps	approved	Player-useful NPC-family unique drops approved for display
npc.dust_devil.423	Dust battlestaff	approved	Player-useful NPC-family unique drops approved for display
npc.earth_warrior.2840	Earth warrior champion scroll	approved	Player-useful NPC-family unique drops approved for display
npc.gargoyle.412	Adamant boots, Brittle key, Granite maul, Mystic robe top (dark)	approved	Player-useful NPC-family unique drops approved for display
npc.general_graardor.2215	Bandos chestplate, Bandos hilt, Bandos tassets, Pet general graardor	approved	Player-useful NPC-family unique drops approved for display
npc.ghoul.289	Ghoul champion scroll	approved	Player-useful NPC-family unique drops approved for display
npc.k_ril_tsutsaroth.3129	Pet k'ril tsutsaroth, Staff of the dead, Steam battlestaff, Zamorak hilt	approved	Player-useful NPC-family unique drops approved for display
npc.kalphite_queen.963	Dragon chainbody, Jar of sand, Kalphite princess, Kq head	approved	Player-useful NPC-family unique drops approved for display
npc.king_black_dragon.239	Kbd heads, Prince black dragon	approved	Player-useful NPC-family unique drops approved for display
npc.kraken.494	Jar of dirt, Pet kraken	approved	Player-useful NPC-family unique drops approved for display
npc.kree_arra.3162	Armadyl chainskirt, Armadyl chestplate, Armadyl helmet, Armadyl hilt, Pet kree'arra	approved	Player-useful NPC-family unique drops approved for display
npc.kurask.410	Kurask head, Leaf-bladed battleaxe, Mystic robe top (light)	approved	Player-useful NPC-family unique drops approved for display
npc.mithril_dragon.2919	Dragon full helm	approved	Player-useful NPC-family unique drops approved for display
npc.moss_giant.2090	Mossy key	approved	Player-useful NPC-family unique drops approved for display
npc.nechryael.8	Rune boots	approved	Player-useful NPC-family unique drops approved for display
npc.thermonuclear_smoke_devil.499	Jar of smoke, Pet smoke devil, Smoke battlestaff	approved	Player-useful NPC-family unique drops approved for display
npc.tztok_jad.3127	Tzrek-jad	approved	Player-useful NPC-family unique drops approved for display
npc.zulrah.2042	Jar of swamp, Magic fang, Magma mutagen, Pet snakeling, Serpentine visage, Tanzanite fang, Tanzanite mutagen	approved	Player-useful NPC-family unique drops approved for display
