rule_id	description	required_source_card_ids	target_card_ids
combination.royal_titans.twinflame_staff	Owning both Royal Titan foils unlocks use of the Twinflame staff, representing the two distinct boss components together.	npc.branda_the_fire_queen.12596|npc.eldric_the_ice_king.14147	item.twinflame_staff.30634
combination.forgotten_four.soulreaper_axe	Owning all four Forgotten Four foils unlocks use of the Soulreaper axe, representing all four distinct boss components together.	npc.vardorvis.12223|npc.the_whisperer.12204|npc.duke_sucellus.12191|npc.the_leviathan.12214	item.soulreaper_axe.25484
combination.components.godsword_blade	Owning foils of every distinct reviewed component unlocks use of Godsword blade; derived permissions and repeated quantities do not satisfy the rule.	item.godsword_shard_1.11818|item.godsword_shard_2.11820|item.godsword_shard_3.11822	item.godsword_blade.11798
combination.components.armadyl_godsword	Owning foils of every distinct reviewed component unlocks use of Armadyl godsword; derived permissions and repeated quantities do not satisfy the rule.	item.godsword_blade.11798|item.armadyl_hilt.11810	item.armadyl_godsword.11802
combination.components.bandos_godsword	Owning foils of every distinct reviewed component unlocks use of Bandos godsword; derived permissions and repeated quantities do not satisfy the rule.	item.godsword_blade.11798|item.bandos_hilt.11812	item.bandos_godsword.11804
combination.components.saradomin_godsword	Owning foils of every distinct reviewed component unlocks use of Saradomin godsword; derived permissions and repeated quantities do not satisfy the rule.	item.godsword_blade.11798|item.saradomin_hilt.11814	item.saradomin_godsword.11806
combination.components.zamorak_godsword	Owning foils of every distinct reviewed component unlocks use of Zamorak godsword; derived permissions and repeated quantities do not satisfy the rule.	item.godsword_blade.11798|item.zamorak_hilt.11816	item.zamorak_godsword.11808
combination.components.ancient_godsword	Owning foils of every distinct reviewed component unlocks use of Ancient godsword; derived permissions and repeated quantities do not satisfy the rule.	item.godsword_blade.11798|item.ancient_hilt.26370	item.ancient_godsword.26233
combination.components.voidwaker	Owning foils of every distinct reviewed component unlocks use of Voidwaker; derived permissions and repeated quantities do not satisfy the rule.	item.voidwaker_blade.27684|item.voidwaker_hilt.27681|item.voidwaker_gem.27687	item.voidwaker.27690
combination.components.odium_ward	Owning foils of every distinct reviewed component unlocks use of Odium ward; derived permissions and repeated quantities do not satisfy the rule.	item.odium_shard_1.11928|item.odium_shard_2.11929|item.odium_shard_3.11930	item.odium_ward.11926
combination.components.malediction_ward	Owning foils of every distinct reviewed component unlocks use of Malediction ward; derived permissions and repeated quantities do not satisfy the rule.	item.malediction_shard_1.11931|item.malediction_shard_2.11932|item.malediction_shard_3.11933	item.malediction_ward.11924
combination.components.dragon_sq_shield	Owning foils of every distinct reviewed component unlocks use of Dragon sq shield; derived permissions and repeated quantities do not satisfy the rule.	item.shield_left_half.2366|item.shield_right_half.2368	item.dragon_sq_shield.1187
combination.components.crystal_key	Owning foils of every distinct reviewed component unlocks use of Crystal key; derived permissions and repeated quantities do not satisfy the rule.	item.tooth_half_of_key.985|item.loop_half_of_key.987	item.crystal_key.989
combination.components.light_ballista	Owning foils of every distinct reviewed component unlocks use of Light ballista; derived permissions and repeated quantities do not satisfy the rule.	item.light_frame.19586|item.ballista_limbs.19592|item.ballista_spring.19601|item.monkey_tail.19610	item.light_ballista.19478
combination.components.heavy_ballista	Owning foils of every distinct reviewed component unlocks use of Heavy ballista; derived permissions and repeated quantities do not satisfy the rule.	item.heavy_frame.19589|item.ballista_limbs.19592|item.ballista_spring.19601|item.monkey_tail.19610	item.heavy_ballista.19481
combination.components.holy_book	Owning foils of every distinct reviewed component unlocks use of Holy book; derived permissions and repeated quantities do not satisfy the rule.	item.saradomin_page_1.3827|item.saradomin_page_2.3828|item.saradomin_page_3.3829|item.saradomin_page_4.3830	item.holy_book.3840
combination.components.unholy_book	Owning foils of every distinct reviewed component unlocks use of Unholy book; derived permissions and repeated quantities do not satisfy the rule.	item.zamorak_page_1.3831|item.zamorak_page_2.3832|item.zamorak_page_3.3833|item.zamorak_page_4.3834	item.unholy_book.3842
combination.components.book_of_balance	Owning foils of every distinct reviewed component unlocks use of Book of balance; derived permissions and repeated quantities do not satisfy the rule.	item.guthix_page_1.3835|item.guthix_page_2.3836|item.guthix_page_3.3837|item.guthix_page_4.3838	item.book_of_balance.3844
combination.components.book_of_war	Owning foils of every distinct reviewed component unlocks use of Book of war; derived permissions and repeated quantities do not satisfy the rule.	item.bandos_page_1.12613|item.bandos_page_2.12614|item.bandos_page_3.12615|item.bandos_page_4.12616	item.book_of_war.12608
combination.components.book_of_law	Owning foils of every distinct reviewed component unlocks use of Book of law; derived permissions and repeated quantities do not satisfy the rule.	item.armadyl_page_1.12617|item.armadyl_page_2.12618|item.armadyl_page_3.12619|item.armadyl_page_4.12620	item.book_of_law.12610
combination.components.book_of_darkness	Owning foils of every distinct reviewed component unlocks use of Book of darkness; derived permissions and repeated quantities do not satisfy the rule.	item.ancient_page_1.12621|item.ancient_page_2.12622|item.ancient_page_3.12623|item.ancient_page_4.12624	item.book_of_darkness.12612
