group_id	description	card_ids
set.torva	Unlocks the other pieces of the reviewed Torva armour set.	item.torva_full_helm.26382|item.torva_platebody.26384|item.torva_platelegs.26386
set.ancestral	Unlocks the other pieces of the reviewed Ancestral robes set.	item.ancestral_hat.21018|item.ancestral_robe_top.21021|item.ancestral_robe_bottom.21024
set.virtus	Unlocks the other pieces of the reviewed Virtus robes set.	item.virtus_mask.26241|item.virtus_robe_top.26243|item.virtus_robe_bottom.26245
set.masori	Unlocks the other pieces of the reviewed standard Masori armour set.	item.masori_mask.27226|item.masori_body.27229|item.masori_chaps.27232
set.masori_fortified	Unlocks the other pieces of the reviewed fortified Masori armour set.	item.masori_mask_f.27235|item.masori_body_f.27238|item.masori_chaps_f.27241
set.justiciar	Unlocks the other pieces of the reviewed Justiciar armour set.	item.justiciar_faceguard.22326|item.justiciar_chestguard.22327|item.justiciar_legguards.22328
set.inquisitor	Unlocks the other pieces of the reviewed Inquisitor armour set.	item.inquisitor_s_great_helm.24419|item.inquisitor_s_hauberk.24420|item.inquisitor_s_plateskirt.24421
set.armadyl	Unlocks the other pieces of the reviewed Armadyl armour set.	item.armadyl_helmet.11826|item.armadyl_chestplate.11828|item.armadyl_chainskirt.11830
set.bandos	Unlocks the other pieces of the reviewed Bandos armour set.	item.bandos_chestplate.11832|item.bandos_tassets.11834|item.bandos_boots.11836
set.oathplate	Unlocks the other pieces of the reviewed Oathplate armour set.	item.oathplate_helm.30750|item.oathplate_chest.30753|item.oathplate_legs.30756
set.blessed_dhide.saradomin	Unlocks the other pieces of the reviewed Saradomin blessed dragonhide set.	item.saradomin_coif.10390|item.saradomin_d_hide_body.10386|item.saradomin_chaps.10388|item.saradomin_bracers.10384|item.saradomin_d_hide_boots.19933|item.saradomin_d_hide_shield.23191
set.blessed_dhide.guthix	Unlocks the other pieces of the reviewed Guthix blessed dragonhide set.	item.guthix_coif.10382|item.guthix_d_hide_body.10378|item.guthix_chaps.10380|item.guthix_bracers.10376|item.guthix_d_hide_boots.19927|item.guthix_d_hide_shield.23188
set.blessed_dhide.zamorak	Unlocks the other pieces of the reviewed Zamorak blessed dragonhide set.	item.zamorak_coif.10374|item.zamorak_d_hide_body.10370|item.zamorak_chaps.10372|item.zamorak_bracers.10368|item.zamorak_d_hide_boots.19936|item.zamorak_d_hide_shield.23194
