source_card_id	reward_kind	rule_id	description	target_card_ids
npc.general_graardor.2215	SOURCE_UNIQUES	source.general_graardor	Unlocks reviewed direct unique drops received from General Graardor; shared drops and completed component products are excluded.	item.bandos_chestplate.11832|item.bandos_tassets.11834|item.bandos_boots.11836|item.bandos_hilt.11812
npc.kree_arra.3162	SOURCE_UNIQUES	source.kree_arra	Unlocks reviewed direct unique drops received from Kree'arra; shared drops and completed component products are excluded.	item.armadyl_helmet.11826|item.armadyl_chestplate.11828|item.armadyl_chainskirt.11830|item.armadyl_hilt.11810
npc.commander_zilyana.2205	SOURCE_UNIQUES	source.commander_zilyana	Unlocks reviewed direct unique drops received from Commander Zilyana; shared drops and completed component products are excluded.	item.armadyl_crossbow.11785|item.saradomin_hilt.11814|item.saradomin_s_light.13256
npc.k_ril_tsutsaroth.3129	SOURCE_UNIQUES	source.k_ril_tsutsaroth	Unlocks reviewed direct unique drops received from K'ril Tsutsaroth; shared drops and completed component products are excluded.	item.staff_of_the_dead.11791|item.steam_battlestaff.11787|item.zamorak_hilt.11816|item.zamorakian_spear.11824
npc.corporeal_beast.319	SOURCE_UNIQUES	source.corporeal_beast	Unlocks reviewed direct unique drops received from Corporeal Beast; shared drops and completed component products are excluded.	item.arcane_sigil.12827|item.elysian_sigil.12819|item.spectral_sigil.12823|item.holy_elixir.12833|item.spirit_shield.12829|item.jar_of_spirits.25521
npc.dagannoth_prime.2266	SOURCE_UNIQUES	source.dagannoth_prime	Unlocks reviewed direct unique drops received from Dagannoth Prime; shared drops and completed component products are excluded.	item.farseer_helm.3755|item.mud_battlestaff.6562|item.seers_ring.6731|item.skeletal_bottoms.6141|item.skeletal_top.6139
npc.dagannoth_rex.2267	SOURCE_UNIQUES	source.dagannoth_rex	Unlocks reviewed direct unique drops received from Dagannoth Rex; shared drops and completed component products are excluded.	item.berserker_ring.6737|item.warrior_ring.6735|item.rock_shell_plate.6129|item.rock_shell_legs.6130
npc.dagannoth_supreme.2265	SOURCE_UNIQUES	source.dagannoth_supreme	Unlocks reviewed direct unique drops received from Dagannoth Supreme; shared drops and completed component products are excluded.	item.archer_helm.3749|item.archers_ring.6733|item.seercull.6724|item.spined_body.6133|item.spined_chaps.6135
npc.kraken.494	SOURCE_UNIQUES	source.kraken	Unlocks reviewed direct unique drops received from Kraken; shared drops and completed component products are excluded.	item.kraken_tentacle.12004|item.jar_of_dirt.12007
npc.thermonuclear_smoke_devil.499	SOURCE_UNIQUES	source.thermonuclear_smoke_devil	Unlocks reviewed direct unique drops received from Thermonuclear smoke devil; shared drops and completed component products are excluded.	item.smoke_battlestaff.11998|item.jar_of_smoke.25524
npc.zulrah.2042	SOURCE_UNIQUES	source.zulrah	Unlocks reviewed direct unique drops received from Zulrah; shared drops and completed component products are excluded.	item.magic_fang.12932|item.serpentine_visage.12927|item.tanzanite_fang.12922|item.jar_of_swamp.12936
npc.cerberus.5862	SOURCE_UNIQUES	source.cerberus	Unlocks reviewed direct unique drops received from Cerberus; shared drops and completed component products are excluded.	item.primordial_crystal.13231|item.pegasian_crystal.13229|item.eternal_crystal.13227|item.smouldering_stone.13233|item.jar_of_souls.13245
npc.alchemical_hydra.8615	SOURCE_UNIQUES	source.alchemical_hydra	Unlocks reviewed direct unique drops received from Alchemical Hydra; shared drops and completed component products are excluded.	item.hydra_tail.22988|item.hydra_leather.22983|item.hydra_s_claw.22966|item.jar_of_chemicals.23064
npc.phantom_muspah.12077	SOURCE_UNIQUES	source.phantom_muspah	Unlocks reviewed direct unique drops received from Phantom Muspah; shared drops and completed component products are excluded.	item.venator_shard.27614
npc.tormented_demon.13599	SOURCE_UNIQUES	source.tormented_demon	Unlocks reviewed direct unique drops received from Tormented Demon; shared drops and completed component products are excluded.	item.burning_claw.29574|item.tormented_synapse.29580
npc.demonic_gorilla.7144	SOURCE_UNIQUES	source.demonic_gorilla	Unlocks reviewed direct unique drops received from Demonic gorilla; shared drops and completed component products are excluded.	item.zenyte_shard.19529|item.heavy_frame.19589|item.light_frame.19586|item.ballista_spring.19601|item.monkey_tail.19610
npc.basilisk_knight.9293	SOURCE_UNIQUES	source.basilisk_knight	Unlocks reviewed direct unique drops received from Basilisk Knight; shared drops and completed component products are excluded.	item.basilisk_jaw.24268
npc.lizardman_shaman.6766	SOURCE_UNIQUES	source.lizardman_shaman	Unlocks reviewed direct unique drops received from Lizardman shaman; shared drops and completed component products are excluded.	item.dragon_warhammer.13576
npc.sulphur_nagua.12879	SOURCE_UNIQUES	source.sulphur_nagua	Unlocks reviewed direct unique drops received from Sulphur Nagua; shared drops and completed component products are excluded.	item.sulphur_blades.29084
npc.armoured_zombie.12720	SOURCE_UNIQUES	source.armoured_zombie	Unlocks reviewed direct unique drops received from Armoured zombie; shared drops and completed component products are excluded.	item.broken_zombie_axe.28813
