source_card_id	reward_kind	rule_id	description	target_card_ids
item.guam_leaf.249	FARMING_SEED	farming.herb.guam.clean	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.guam_seed.5291
item.grimy_guam_leaf.199	FARMING_SEED	farming.herb.guam.grimy	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.guam_seed.5291
item.marrentill.251	FARMING_SEED	farming.herb.marrentill.clean	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.marrentill_seed.5292
item.grimy_marrentill.201	FARMING_SEED	farming.herb.marrentill.grimy	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.marrentill_seed.5292
item.tarromin.253	FARMING_SEED	farming.herb.tarromin.clean	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.tarromin_seed.5293
item.grimy_tarromin.203	FARMING_SEED	farming.herb.tarromin.grimy	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.tarromin_seed.5293
item.harralander.255	FARMING_SEED	farming.herb.harralander.clean	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.harralander_seed.5294
item.grimy_harralander.205	FARMING_SEED	farming.herb.harralander.grimy	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.harralander_seed.5294
item.ranarr_weed.257	FARMING_SEED	farming.herb.ranarr.clean	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.ranarr_seed.5295
item.grimy_ranarr_weed.207	FARMING_SEED	farming.herb.ranarr.grimy	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.ranarr_seed.5295
item.toadflax.2998	FARMING_SEED	farming.herb.toadflax.clean	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.toadflax_seed.5296
item.grimy_toadflax.3049	FARMING_SEED	farming.herb.toadflax.grimy	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.toadflax_seed.5296
item.irit_leaf.259	FARMING_SEED	farming.herb.irit.clean	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.irit_seed.5297
item.grimy_irit_leaf.209	FARMING_SEED	farming.herb.irit.grimy	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.irit_seed.5297
item.avantoe.261	FARMING_SEED	farming.herb.avantoe.clean	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.avantoe_seed.5298
item.grimy_avantoe.211	FARMING_SEED	farming.herb.avantoe.grimy	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.avantoe_seed.5298
item.kwuarm.263	FARMING_SEED	farming.herb.kwuarm.clean	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.kwuarm_seed.5299
item.grimy_kwuarm.213	FARMING_SEED	farming.herb.kwuarm.grimy	Unlocks the corresponding seed for this directly farmed herb; processing ingredients and unrelated Farming outputs are excluded.	item.kwuarm_seed.5299
