group_id	description	ordered_card_ids
tier.axe	Unlocks lower-tier axe cards in the reviewed Bronze-to-Dragon chain.	item.bronze_axe|item.iron_axe.1349|item.steel_axe.1353|item.black_axe.1361|item.mithril_axe.1355|item.adamant_axe.1357|item.rune_axe.1359|item.dragon_axe.6739
tier.felling_axe	Unlocks lower-tier felling axe cards in the reviewed Bronze-to-Dragon chain.	item.bronze_felling_axe.28196|item.iron_felling_axe.28199|item.steel_felling_axe.28202|item.black_felling_axe.28205|item.mithril_felling_axe.28208|item.adamant_felling_axe.28211|item.rune_felling_axe.28214|item.dragon_felling_axe.28217
tier.pickaxe	Unlocks lower-tier pickaxe cards in the reviewed Bronze-to-Dragon chain.	item.bronze_pickaxe|item.iron_pickaxe.1267|item.steel_pickaxe.1269|item.black_pickaxe.12297|item.mithril_pickaxe.1273|item.adamant_pickaxe.1271|item.rune_pickaxe.1275|item.dragon_pickaxe.11920
tier.dagger	Unlocks lower-tier dagger cards in the reviewed Bronze-to-Dragon chain.	item.bronze_dagger|item.iron_dagger|item.steel-dagger|item.black_dagger.1217|item.mithril-dagger|item.adamant-dagger|item.rune-dagger|item.dragon_dagger.1215
tier.sword	Unlocks lower-tier sword cards in the reviewed Bronze-to-Dragon chain.	item.bronze_sword|item.iron_sword|item.steel_sword|item.black_sword.1283|item.mithril-sword|item.adamant-sword|item.rune-sword|item.dragon_sword.21009
tier.longsword	Unlocks lower-tier longsword cards in the reviewed Bronze-to-Dragon chain.	item.bronze-longsword|item.iron-longsword|item.steel-longsword|item.black_longsword.1297|item.mithril-longsword|item.adamant-longsword|item.rune-longsword|item.dragon_longsword.1305
tier.scimitar	Unlocks lower-tier scimitar cards in the reviewed Bronze-to-Dragon chain.	item.bronze_scimitar|item.iron_scimitar|item.steel_scimitar|item.black_scimitar.1327|item.mithril-scimitar|item.adamant-scimitar|item.rune-scimitar|item.dragon_scimitar.4587
tier.mace	Unlocks lower-tier mace cards in the reviewed Bronze-to-Dragon chain.	item.bronze_mace|item.iron_mace.1420|item.steel-mace|item.black_mace.1426|item.mithril-mace|item.adamant-mace|item.rune-mace|item.dragon_mace.1434
tier.warhammer	Unlocks lower-tier warhammer cards in the reviewed Bronze-to-Dragon chain.	item.bronze_warhammer.1337|item.iron_warhammer.1335|item.steel_warhammer.1339|item.black_warhammer.1341|item.mithril_warhammer.1343|item.adamant_warhammer.1345|item.rune_warhammer.1347|item.dragon_warhammer.13576
tier.battleaxe	Unlocks lower-tier battleaxe cards in the reviewed Bronze-to-Dragon chain.	item.bronze_battleaxe.1375|item.iron_battleaxe.1363|item.steel_battleaxe.1365|item.black_battleaxe.1367|item.mithril_battleaxe.1369|item.adamant_battleaxe.1371|item.rune_battleaxe.1373|item.dragon_battleaxe.1377
tier.2h_sword	Unlocks lower-tier 2h sword cards in the reviewed Bronze-to-Dragon chain.	item.bronze_2h_sword|item.iron_2h_sword|item.steel-2h-sword|item.black_2h_sword.1313|item.mithril-2h-sword|item.adamant-2h-sword|item.rune-2h-sword|item.dragon_2h_sword.7158
tier.spear	Unlocks lower-tier spear cards in the reviewed Bronze-to-Dragon chain.	item.bronze_spear.1237|item.iron_spear.1239|item.steel_spear.1241|item.black_spear.4580|item.mithril_spear.1243|item.adamant_spear.1245|item.rune_spear.1247|item.dragon_spear.1249
tier.hasta	Unlocks lower-tier hasta cards in the reviewed Bronze-to-Dragon chain.	item.bronze_hasta.11367|item.iron_hasta.11369|item.steel_hasta.11371|item.mithril_hasta.11373|item.adamant_hasta.11375|item.rune_hasta.11377|item.dragon_hasta.22731
tier.halberd	Unlocks lower-tier halberd cards in the reviewed Bronze-to-Dragon chain.	item.bronze_halberd.3190|item.iron_halberd.3192|item.steel_halberd.3194|item.black_halberd.3196|item.mithril_halberd.3198|item.adamant_halberd.3200|item.rune_halberd.3202|item.dragon_halberd.3204
tier.claws	Unlocks lower-tier claws cards in the reviewed Bronze-to-Dragon chain.	item.bronze_claws.3095|item.iron_claws.3096|item.steel_claws.3097|item.black_claws.3098|item.mithril_claws.3099|item.adamant_claws.3100|item.rune_claws.3101|item.dragon_claws.13652
tier.defender	Unlocks lower-tier defender cards in the reviewed Bronze-to-Dragon chain.	item.bronze_defender.8844|item.iron_defender.8845|item.steel_defender.8846|item.black_defender.8847|item.mithril_defender.8848|item.adamant_defender.8849|item.rune_defender.8850|item.dragon_defender.12954
tier.dart	Unlocks lower-tier dart cards in the reviewed Bronze-to-Dragon chain.	item.bronze_dart.806|item.iron_dart.807|item.steel_dart.808|item.black_dart.3093|item.mithril_dart.809|item.adamant_dart.810|item.rune_dart.811|item.dragon_dart.11230
tier.dart_tip	Unlocks lower-tier dart tip cards in the reviewed Bronze-to-Dragon chain.	item.bronze_dart_tip.819|item.iron_dart_tip.820|item.steel_dart_tip.821|item.mithril_dart_tip.822|item.adamant_dart_tip.823|item.rune_dart_tip.824|item.dragon_dart_tip.11232
tier.knife	Unlocks lower-tier knife cards in the reviewed Bronze-to-Dragon chain.	item.bronze_knife.864|item.iron_knife.863|item.steel_knife.865|item.black_knife.869|item.mithril_knife.866|item.adamant_knife.867|item.rune_knife.868|item.dragon_knife.22804
tier.thrownaxe	Unlocks lower-tier thrownaxe cards in the reviewed Bronze-to-Dragon chain.	item.bronze_thrownaxe.800|item.iron_thrownaxe.801|item.steel_thrownaxe.802|item.mithril_thrownaxe.803|item.adamant_thrownaxe.804|item.rune_thrownaxe.805|item.dragon_thrownaxe.20849
tier.javelin	Unlocks lower-tier javelin cards in the reviewed Bronze-to-Dragon chain.	item.bronze_javelin.825|item.iron_javelin.826|item.steel_javelin.827|item.mithril_javelin.828|item.adamant_javelin.829|item.rune_javelin.830|item.dragon_javelin.19484
tier.javelin_tips	Unlocks lower-tier javelin tips cards in the reviewed Bronze-to-Dragon chain.	item.bronze_javelin_tips.19570|item.iron_javelin_tips.19572|item.steel_javelin_tips.19574|item.mithril_javelin_tips.19576|item.adamant_javelin_tips.19578|item.rune_javelin_tips.19580|item.dragon_javelin_tips.19582
tier.arrow	Unlocks lower-tier arrow cards in the reviewed Bronze-to-Dragon chain.	item.bronze-arrow|item.iron-arrow|item.steel-arrow|item.mithril-arrow|item.adamant-arrow|item.rune-arrow|item.dragon_arrow.11212
tier.arrowtips	Unlocks lower-tier arrowtips cards in the reviewed Bronze-to-Dragon chain.	item.bronze_arrowtips.39|item.iron_arrowtips.40|item.steel_arrowtips.41|item.mithril_arrowtips.42|item.adamant_arrowtips.43|item.rune_arrowtips.44|item.dragon_arrowtips.11237
tier.crossbow	Unlocks lower-tier crossbow cards in the reviewed Bronze-to-Dragon chain.	item.bronze-crossbow|item.iron-crossbow|item.steel-crossbow|item.mithril_crossbow.9181|item.adamant_crossbow.9183|item.rune_crossbow.9185|item.dragon_crossbow.21902
tier.crossbow_u	Unlocks lower-tier crossbow (u) cards in the reviewed Bronze-to-Dragon chain.	item.bronze_crossbow_u.9454|item.iron_crossbow_u.9457|item.steel_crossbow_u.9459|item.mithril_crossbow_u.9461|item.adamant_crossbow_u.9463|item.dragon_crossbow_u.21921
tier.bolts	Unlocks lower-tier bolts cards in the reviewed Bronze-to-Dragon chain.	item.bronze_bolts.877|item.iron_bolts.9140|item.steel_bolts.9141|item.mithril_bolts.9142|item.adamant_bolts.9143|item.dragon_bolts.21905
tier.bolts_unf	Unlocks lower-tier bolts (unf) cards in the reviewed Bronze-to-Dragon chain.	item.bronze_bolts_unf.9375|item.iron_bolts_unf.9377|item.steel_bolts_unf.9378|item.mithril_bolts_unf.9379|item.dragon_bolts_unf.21930
tier.limbs	Unlocks lower-tier limbs cards in the reviewed Bronze-to-Dragon chain.	item.bronze_limbs.9420|item.iron_limbs.9423|item.steel_limbs.9425|item.mithril_limbs.9427|item.dragon_limbs.21918
tier.full_helm	Unlocks lower-tier full helm cards in the reviewed Bronze-to-Dragon chain.	item.bronze_full_helm|item.iron_full_helm|item.steel-full-helm|item.black_full_helm.1165|item.mithril-full-helm|item.adamant-full-helm|item.rune-full-helm|item.dragon_full_helm.11335
