quest_key	group_id	group_mode	card_id	source
Akingdomdivided	all:npc.assassin.10940	ALL	npc.assassin.10940	OSRS Wiki: A Kingdom Divided; Assassin (A Kingdom Divided); Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d; OSRS Wiki: While Guthix Sleeps
Akingdomdivided	all:npc.barbarian_warlord.10989	ALL	npc.barbarian_warlord.10989	OSRS Wiki: A Kingdom Divided
Akingdomdivided	all:npc.judge_of_yama.10938	ALL	npc.judge_of_yama.10938	OSRS Wiki: A Kingdom Divided
Akingdomdivided	all:npc.xamphur.10955	ALL	npc.xamphur.10955	OSRS Wiki: A Kingdom Divided
Anightatthetheatre	all:npc.nylocas_vasilias.8355	ALL	npc.nylocas_vasilias.8355	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d / OSRS Wiki: A Taste of Hope; A Night at the Theatre
Anightatthetheatre	all:npc.pestilent_bloat.8359	ALL	npc.pestilent_bloat.8359	OSRS Wiki: A Night at the Theatre
Anightatthetheatre	all:npc.sotetseg.8388	ALL	npc.sotetseg.8388	OSRS Wiki: A Night at the Theatre
Anightatthetheatre	all:npc.the_maiden_of_sugadinti.8360	ALL	npc.the_maiden_of_sugadinti.8360	OSRS Wiki: A Night at the Theatre
Anightatthetheatre	all:npc.verzik_vitur.8370	ALL	npc.verzik_vitur.8370	OSRS Wiki: A Night at the Theatre
Anightatthetheatre	all:npc.xarpus.8340	ALL	npc.xarpus.8340	OSRS Wiki: A Night at the Theatre
Aporcineofinterest	all:npc.sourhog.10435	ALL	npc.sourhog.10435	OSRS Wiki: A Porcine of Interest
Asoulsbane	all:npc.angry_bear.1060	ALL	npc.angry_bear.1060	OSRS Wiki: A Soul's Bane; Angry bear
Asoulsbane	all:npc.angry_giant_rat.1062	ALL	npc.angry_giant_rat.1062	OSRS Wiki: A Soul's Bane; Angry giant rat
Asoulsbane	all:npc.angry_goblin.1065	ALL	npc.angry_goblin.1065	OSRS Wiki: A Soul's Bane; Angry goblin
Asoulsbane	all:npc.angry_unicorn.1061	ALL	npc.angry_unicorn.1061	OSRS Wiki: A Soul's Bane; Angry unicorn
