scope	quest_key	quest_name
miniquest	Alfredgrimhandsbarcrawl	Alfred Grimhand's Barcrawl
miniquest	Barbariantraining	Barbarian Training
miniquest	Bearyoursoul	Bear Your Soul
miniquest	Curseoftheemptylord	Curse of the Empty Lord
miniquest	Daddyshome	Daddy's Home
miniquest	Entertheabyss	Enter the Abyss
miniquest	Hisfaithfulservants	His Faithful Servants
miniquest	Hopespearswill	Hopespear's Will
miniquest	Insearchofknowledge	In Search of Knowledge
miniquest	Lairoftarnrazorlor	Lair of Tarn Razorlor
miniquest	Themagearenai	Mage Arena I
miniquest	Themagearenaii	Mage Arena II
miniquest	Skippyandthemogres	Skippy and the Mogres
miniquest	Enchantedkey	The Enchanted Key
miniquest	Thegeneralsshadow	The General's Shadow
miniquest	Valetotems	Vale Totems
quest	Akingdomdivided	A Kingdom Divided
quest	Anightatthetheatre	A Night at the Theatre
quest	Aporcineofinterest	A Porcine of Interest
quest	Asoulsbane	A Soul's Bane
quest	Atailoftwocats	A Tail of Two Cats
quest	Atasteofhope	A Taste of Hope
quest	Animalmagnetism	Animal Magnetism
quest	Anothersliceofham	Another Slice of H.A.M.
quest	Atfirstlight	At First Light
quest	Belowicemountain	Below Ice Mountain
quest	Beneathcursedsands	Beneath Cursed Sands
quest	Betweenarock	Between a Rock
quest	Bigchompybirdhunting	Big Chompy Bird Hunting
quest	Biohazard	Biohazard
quest	Blackknightfortress	Black Knights' Fortress
quest	Bonevoyage	Bone Voyage
quest	Cabinfever	Cabin Fever
quest	Clientofkourend	Client of Kourend
quest	Clocktower	Clock Tower
quest	Coldwar	Cold War
quest	Contact	Contact!
quest	Cooksassistant	Cook's Assistant
quest	Creatureoffenkenstrain	Creature of Fenkenstrain
quest	Currentaffairs	Current Affairs
quest	Darknessofhallowvale	Darkness of Hallowvale
quest	Deathontheisle	Death on the Isle
quest	Deathplateau	Death Plateau
quest	Deathtothedorgeshuun	Death to the Dorgeshuun
quest	Defenderofvarrock	Defender of Varrock
quest	Demonslayer	Demon Slayer
quest	Deserttreasure	Desert Treasure I
quest	Deserttreasureii	Desert Treasure II
quest	Deviousminds	Devious Minds
quest	Doricsquest	Doric's Quest
quest	Dragonslayer	Dragon Slayer
quest	Dragonslayerii	Dragon Slayer II
quest	Dreammentor	Dream Mentor
quest	Druidicritual	Druidic Ritual
quest	Dwarfcannon	Dwarf Cannon
quest	Eadgarsruse	Eadgar's Ruse
quest	Eaglespeak	Eagles' Peak
quest	Elementalworkshopi	Elemental Workshop I
quest	Elementalworkshopii	Elemental Workshop II
quest	Enakhraslament	Enakhras Lament
quest	Enlightenedjourney	Enlightened Journey
quest	Ernestthechicken	Ernest the Chicken
quest	Ethicallyacquiredantiquities	Ethically Acquired Antiquities
quest	Fairytalei	Fairytale I - Growing Pains
quest	Fairytaleii	Fairytale II - Cure a Queen
quest	Familycrest	Family Crest
quest	Fightarena	Fight Arena
quest	Fishingcontest	Fishing Contest
quest	Forgettabletale	Forgettable Tale...
quest	Gardenoftranquility	Garden of Tranquillity
quest	Gertrudescat	Gertrude's Cat
quest	Gettingahead	Getting Ahead
quest	Ghostsahoy	Ghosts Ahoy
quest	Goblindiplomacy	Goblin Diplomacy
quest	Grimtales	Grim Tales
quest	Hauntedmine	Haunted Mine
quest	Hazeelcult	Hazeel Cult
quest	Heroesquest	Heroes' Quest
quest	Holygrail	Holy Grail
quest	Horrorfromthedeep	Horror from the Deep
quest	Icthlarinslittlehelper	Icthlarin's Little Helper
quest	Impcatcher	Imp Catcher
quest	Inaidofthemyreque	In Aid of the Myreque
quest	Insearchofthemyreque	In Search of the Myreque
quest	Junglepotion	Jungle Potion
quest	Kingsransom	King's Ransom
quest	Landofthegoblins	Land of the Goblins
quest	Legendsquest	Legends' Quest
quest	Lostcity	Lost City
quest	Lunardiplomacy	Lunar Diplomacy
quest	Makingfriendswithmyarm	Making Friends with My Arm
quest	Makinghistory	Making History
quest	Meatandgreet	Meat and Greet
quest	Merlinscrystal	Merlin's Crystal
quest	Misthalinmystery	Misthalin Mystery
quest	Monksfriend	Monk's Friend
quest	Monkeymadnessi	Monkey Madness I
quest	Monkeymadnessii	Monkey Madness II
quest	Mountaindaughter	Mountain Daughter
quest	Mourningsendparti	Mourning's End Part I
quest	Mourningsendpartii	Mourning's End Part II
quest	Murdermystery	Murder Mystery
quest	Myarmsbigadventure	My Arms Big Adventure
quest	Naturespirit	Nature Spirit
quest	Observatoryquest	Observatory Quest
quest	Olafsquest	Olaf's Quest
quest	Onesmallfavour	One Small Favour
quest	Pandemonium	Pandemonium
quest	Perilousmoon	Perilous Moons
quest	Piratestreasure	Pirate's Treasure
quest	Plaguecity	Plague City
quest	Priestinperil	Priest in Peril
quest	Princealirescue	Prince Ali Rescue
quest	Pryingtimes	Prying Times
quest	Ragandboneman	Rag and Bone Man II
quest	Ratcatchers	Rat Catchers
quest	Recipefordisaster	Recipe for Disaster
quest	Recruitmentdrive	Recruitment Drive
quest	Regicide	Regicide
quest	Romeoandjuliet	Romeo and Juliet
quest	Rovingelves	Roving Elves
quest	Royaltrouble	Royal Trouble
quest	Rumdeal	Rum Deal
quest	Runemysteries	Rune Mysteries
quest	Scorpioncatcher	Scorpion Catcher
quest	Scrambled	Scrambled
quest	Seaslug	Sea Slug
quest	Secretsofthenorth	Secrets of the North
quest	Shadesofmortton	Shades of Mort'ton
quest	Shadowofthestorm	Shadow of the Storm
quest	Shadowsofcustodia	Shadows of Custodia
quest	Sheepherder	Sheep Herder
quest	Sheepshearer	Sheep Shearer
quest	Shieldofarrav	Shield of Arrav
quest	Shilovillage	Shilo Village
quest	Sinsofthefather	Sins of the Father
quest	Sleepinggiants	Sleeping Giants
quest	Songoftheelves	Song of the Elves
quest	Spiritsoftheelid	Spirits of the Elid
quest	Swansong	Swan Song
quest	Taibwowannaitrio	Tai Bwo Wannai Trio
quest	Taleoftherighteous	Tale of the Righteous
quest	Tearsofguthix	Tears of Guthix
quest	Templeofikov	Temple of Ikov
quest	Templeoftheeye	Temple of the Eye
quest	Theascentofarceuus	The Ascent of Arceuus
quest	Thecorsaircurse	The Corsair Curse
quest	Thecurseofarrav	The Curse of Arrav
quest	Thedepthsofdespair	The Depths of Despair
quest	Thedigsite	The Dig Site
quest	Theeyesofglouphrie	The Eyes of Glouphrie
quest	Thefeud	The Feud
quest	Thefinaldawn	The Final Dawn
quest	Theforsakentower	The Forsaken Tower
quest	Thefremennikexiles	The Fremennik Exiles
quest	Thefremennikisles	The Fremennik Isles
quest	Thefremenniktrials	The Fremennik Trials
quest	Thegardenofdeath	The Garden of Death
quest	Thegiantdwarf	The Giant Dwarf
quest	Thegolem	The Golem
quest	Thegrandtree	The Grand Tree
quest	Thegreatbrainrobbery	The Great Brain Robbery
quest	Thehandinthesand	The Hand in the Sand
quest	Theheartofdarkness	The Heart of Darkness
quest	Theidesofmilk	The Ides of Milk
quest	Theknightssword	The Knight's Sword
quest	Thelosttribe	The Lost Tribe
quest	Thepathofglouphrie	The Path of Glouphrie
quest	Thequeenofthieves	The Queen of Thieves
quest	Theredreef	The Red Reef
quest	Therestlessghost	The Restless Ghost
quest	Theslugmenace	The Slug Menace
quest	Thetouristtrap	The Tourist Trap
quest	Throneofmiscellania	Throne of Miscellania
quest	Toweroflife	Tower of Life
quest	Treegnomevillage	Tree Gnome Village
quest	Tribaltotem	Tribal Totem
quest	Trollromance	Troll Romance
quest	Trollstronghold	Troll Stronghold
quest	Troubledtortugans	Troubled Tortugans
quest	Twilightspromise	Twilight's Promise
quest	Undergroundpass	Underground Pass
quest	Vampyreslayer	Vampyre Slayer
quest	Wanted	Wanted
quest	Watchtower	Watchtower
quest	Waterfallquest	Waterfall Quest
quest	Whatliesbelow	What Lies Below
quest	Whileguthixsleeps	While Guthix Sleeps
quest	Witchshouse	Witch's House
quest	Witchspotion	Witch's Potion
quest	Xmarksthespot	X Marks the Spot
quest	Zogreflesheaters	Zogre Flesh Eaters
