quest_key	group_id	group_mode	card_id	source
Akingdomdivided	all:item.dark_essence_block.13446	ALL	item.dark_essence_block.13446	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Kingdom Divided
Akingdomdivided	all:item.defence_potion.137	ALL	item.defence_potion.137	Quest Helper pinned source 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Akingdomdivided	all:item.molten_glass.1775	ALL	item.molten_glass.1775	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Kingdom Divided; Desert Treasure I; Dragon Slayer II; Horror from the Deep; Observatory Quest; The Fremennik Exiles; Wanted
Akingdomdivided	all:item.shielding_potion.25813	ALL	item.shielding_potion.25813	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Kingdom Divided
Akingdomdivided	all:item.sulphur_potion.25812	ALL	item.sulphur_potion.25812	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Kingdom Divided
Anightatthetheatre	all:item.drakan_s_medallion.22400	ALL	item.drakan_s_medallion.22400	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Night at the Theatre; Sins of the Father
Anightatthetheatre	all:item.hespori_bark.25968	ALL	item.hespori_bark.25968	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Night at the Theatre
Anightatthetheatre	all:item.ivandis_flail.22398	ALL	item.ivandis_flail.22398	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Night at the Theatre; A Taste of Hope; Sins of the Father
Aporcineofinterest	all:item.reinforced_goggles.24942	ALL	item.reinforced_goggles.24942	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Porcine of Interest
Aporcineofinterest	all:item.rope.954	ALL	item.rope.954	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Porcine of Interest; A Soul’s Bane; Another Slice of H.A.M.; Cabin Fever; In Aid of the Myreque; Legends’ Quest; Making Friends with My Arm; Mountain Daughter; Mourning’s End Part II; Olaf’s Quest; Perilous Moons; Plague City; Prince Ali Rescue; Rag and Bone Man II; Recipe for Disaster; Regicide; Roving Elves; Royal Trouble; Shilo Village; Song of the Elves; Spirits of the Elid; Tale of the Righteous; Tears of Guthix; The Dig Site; The Fremennik Isles; Troll Romance; Underground Pass; Wanted!; Watchtower; Waterfall Quest
Atailoftwocats	all:item.bucket_of_milk.1927	ALL	item.bucket_of_milk.1927	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Tail of Two Cats; Cook's Assistant; Gertrude’s Cat; Ghosts Ahoy; Plague City; Ratcatchers; Recipe for Disaster
Atailoftwocats	all:item.catspeak_amulet.4677	ALL	item.catspeak_amulet.4677	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Tail of Two Cats; Dragon Slayer II; Ratcatchers
Atailoftwocats	all:item.catspeak_amulet_e.6544	ALL	item.catspeak_amulet_e.6544	Quest Helper pinned source 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
Atailoftwocats	all:item.chocolate_cake.1897	ALL	item.chocolate_cake.1897	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Tail of Two Cats
